Date,Place,Disc.,Winner,Second,Third,Filler_1,Random_Column_2
4 February 2006,"Ofterschwang, Germany",GS,María J. Rienda Anja Pärson,,Julia Mancuso,bGgubLv,5P6DlIgA
5 February 2006,"Ofterschwang, Germany",SL,Janica Kostelić,Kathrin Zettel,Marlies Schild,zmben,ASXr7
15-24 Feb.,"Torino, Italy",2006 Winter Olympics,2006 Winter Olympics,,,emDbN,SGosJ
3 March 2006,"Kvitfjell & Hafjell, Norway",SG,Michaela Dorfmeister Lindsey Kildow Nadia Styger,,,GWHNzs,ZOKY7
4 March 2006,"Kvitfjell & Hafjell, Norway",SC,Janica Kostelić,Anja Pärson,Marlies Schild,nrGbb,mNqclp
5 March 2006,"Kvitfjell & Hafjell, Norway",GS,María J. Rienda,Nicole Hosp,Tanja Poutiainen,PtkXRJu,l29FBLm
10 March 2006,"Levi, Finland",SL,Janica Kostelić,Anja Pärson,Kathrin Zettel,wqefDroV,23zzJ6y0
11 March 2006,"Levi, Finland",SL,Anja Pärson,Janica Kostelić,Nicole Hosp,eyvCgDSg,JOjSroj
15 March 2006,"Åre, Sweden",DH,Anja Pärson,Lindsey Kildow,Elisabeth Görgl,XfpCfE,8zmpgloK
16 March 2006,"Åre, Sweden",SG,Nicole Hosp,Michaela Dorfmeister,Martina Ertl-Renz,uzvBWuv,l8eVX
"17 March 2006,","Åre, Sweden",SL,Janica Kostelić,Marlies Schild,Anja Pärson,HzGcE,oDW25fdK
18 March 2006,"Åre, Sweden",GS,Janica Kostelić,Geneviève Simard,Nicole Hosp Tanja Poutiainen,lUiYaGO,58mQC8
