Year,Driver,Nation of citizenship,Racing series,Type of vehicle,Random_Column_1,Unused_2
2004,"Dale Earnhardt, Jr.",United States,NASCAR,Stock car,pB0BfUoP,
2005,Michael Schumacher,Germany,Formula One,Open wheel,nJSbihZ,
2006,Tony Stewart,United States,NASCAR,Stock car,e44jn58,
2007,Jeff Gordon,United States,NASCAR,Stock car,4nWDU,
2008,Jimmie Johnson,United States,NASCAR,Stock car,hZJnuN,
2009,Jimmie Johnson,United States,NASCAR,Stock car,3i6eU,
2010,Jimmie Johnson,United States,NASCAR,Stock car,HM9ruwCr,
2011,Jimmie Johnson,United States,NASCAR,Stock car,B61g77t0,
2012,Tony Stewart,United States,NASCAR,Stock car,T0dz8Gr,
2013,Ryan Hunter-Reay,United States,IndyCar Series,Open wheel,w9OhHsn,
