Year,Driver,Nation of citizenship,Racing series,Type of vehicle
1993,Nigel Mansell,United Kingdom,Formula One,Open wheel
1994,Nigel Mansell,United Kingdom,CART,Open wheel
1995,"Al Unser, Jr.",United States,CART,Open wheel
1996,Jeff Gordon,United States,NASCAR,Stock car
1997,Jimmy Vasser,United States,CART,Open wheel
1998,Jeff Gordon,United States,NASCAR,Stock car
1999,Jeff Gordon,United States,NASCAR,Stock car
2000,Dale Jarrett,United States,NASCAR,Stock car
2001,Bobby Labonte,United States,NASCAR,Stock car
2002,Michael Schumacher,Germany,Formula One,Open wheel
2003,Tony Stewart,United States,NASCAR,Stock car
