State,No. of candidates,No. of elected,Total no. of seats in Assembly,Year of Election,Unused_1,Dummy_Col_2,Random_Column_3
Andhra Pradesh,12,6,294,2004,,YWHinC,2Ljg8LgZ
Assam,19,1,126,2001,,FdNjeRu,kmLdfh
Bihar,153,5,324,2000,,gDwrv,NIxYM
Chhattisgarh,18,0,90,2003,,aaAAEHQc,Wk2XEDj
Delhi,2,0,70,2003,,ERVdJDg,p8JNOPXm
Goa,3,0,40,2002,,tilxVaU,UFy0Dk
Gujarat,1,0,181,2002,,cjJiDbx,CYkDI
Haryana,10,0,90,2000,,bLjLPZj,egxshk8
Himachal Pradesh,7,0,68,2003,,YWHcIZwm,mOEXZd
Jammu and Kashmir,5,0,87,2002,,bQvnau,BxEnR6
Karnataka,5,0,224,2004,,BQasI,HeEASQ0
Kerala,22,17,140,2006,,oXmRNv,KRVNKY
Madhya Pradesh,17,0,230,2003,,yMBDjaQi,6NrZTy61
