Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
Harry W. Tetrick,"February 17, 1977",49th,1976,Best Sound,King Kong,
Harry W. Tetrick,"February 17, 1977",49th,1976,Best Sound,Rocky,
Spencer Tracy,"June 10, 1967",40th,1967,Best Actor,Guess Who's Coming to Dinner,
Massimo Troisi,"June 4, 1994",68th,1995,Best Actor,Il Postino,
Massimo Troisi,"June 4, 1994",68th,1995,Best Writing,Il Postino,
Lamar Trotti,"August 28, 1952",27th,1954,Best Writing,There's No Business Like Show Business,
Geoffrey Unsworth,"October 28, 1978",53rd,1980,Best Cinematography,Tess,Won
Robert L. Wolfe,"February 28, 1981",54th,1981,Best Film Editing,On Golden Pond,
Victor Young,"November 10, 1956",29th,1956,Best Music (Scoring),Around the World in Eighty Days,Won
Victor Young,"November 10, 1956",29th,1956,Best Music (Song),Written on the Wind,
Sam Zimbalist,"November 4, 1958",32nd,1959,Best Picture,Ben-Hur,Won
