Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
Marit Allen,"November 26, 2007",80th,2007,Best Costume Design,La Vie en Rose,
Howard Ashman,"March 14, 1991",64th,1991,Best Music (Song),Beauty and the Beast,Won
Howard Ashman,"March 14, 1991",64th,1991,Best Music (Song),Beauty and the Beast,
Howard Ashman,"March 14, 1991",64th,1991,Best Music (Song),Beauty and the Beast,
Howard Ashman,"March 14, 1991",65th,1992,Best Music (Song),Aladdin,
Joseph H. August,"September 25, 1947",21st,1948,Best Cinematography,Portrait of Jennie,
Robert Alan Aurthur,"November 20, 1978",52nd,1979,Best Picture,All That Jazz,
Robert Alan Aurthur,"November 20, 1978",52nd,1979,Best Writing,All That Jazz,
Mario Cecchi Gori,"November 5, 1993",68th,1995,Best Picture,Il Postino,
Frank Churchill,"May 14, 1942",15th,1942,Best Music (Scoring),Bambi,
Frank Churchill,"May 14, 1942",15th,1942,Best Music (Song),Bambi,
