Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
Heath Ledger,"January 22, 2008",81st,2008,Best Supporting Actor,The Dark Knight,Won
Boris Leven,"October 11, 1986",59th,1986,Best Art Direction,The Color of Money,
William C. Mellor,"April 30, 1963",38th,1965,Best Cinematography,The Greatest Story Ever Told,
Anthony Minghella,"March 18, 2008",81st,2008,Best Picture,The Reader,
James V. Monaco,"October 16, 1945",19th,1946,Best Music (Song),The Dolly Sisters,
Alfred Newman,"February 17, 1970",43rd,1970,Best Music (Scoring),Airport,
Joseph O'Brien,"March 30, 1945",18th,1945,Best Short Film (Live Action),Your National Gallery,
Bridget O'Connor,"September 22, 2010",84th,2011,Best Writing,Tinker Tailor Soldier Spy,
Eric Orbom,"May 23, 1959",33rd,1960,Best Art Direction,Spartacus,Won
Arnold Perl,"December 11, 1971",45th,1972,Best Documentary (Feature),Malcolm X,
Sydney Pollack,"May 26, 2008",81st,2008,Best Picture,The Reader,
