Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
Allen Davey,"March 5, 1946",18th,1945,Best Cinematography,A Song to Remember,
James Dean,"September 30, 1955",28th,1955,Best Actor,East of Eden,
James Dean,"September 30, 1955",29th,1956,Best Actor,Giant,
Walt Disney,"December 15, 1966",41st,1968,Best Short Film (Animated),Winnie the Pooh and the Blustery Day,Won
Gail Dolgin,"October 7, 2010",84th,2011,Best Documentary (Short Subject),The Barber of Birmingham,
Gerald Duffy,"June 25, 1928",1st,1927 / 1928,Best Writing,The Private Life of Helen of Troy,
Jeanne Eagels,"October 3, 1929",2nd,1928 / 1929,Best Actress,The Letter,
William Ferrari,"September 10, 1962",36th,1963,Best Art Direction,How the West Was Won,
Peter Finch,"January 14, 1977",49th,1976,Best Actor,Network,Won
Gil Friesen,"December 13, 2012",86th,2013,Best Documentary Feature,20 Feet from Stardom,Won
George Gershwin,"July 11, 1937",10th,1937,Best Music (Song),Shall We Dance,
