Name,Date of Death,Ceremony,Year,Academy Award,Film,Winner
William A. Horning,"March 2, 1959",32nd,1959,Best Art Direction,North by Northwest,
Sidney Howard,"August 23, 1939",12th,1939,Best Writing,Gone with the Wind,Won
John Hubley,"February 21, 1977",50th,1977,Best Short Film (Animated),A Doonesbury Special,
Eiko Ishioka,"January 21, 2012",85th,2012,Best Costume Design,Mirror Mirror,
Bert Kalmar,"September 18, 1947",24th,1951,Best Music (Song),The Strip,
Jerome Kern,"November 11, 1945",18th,1945,Best Music (Scoring),Can't Help Singing,
Jerome Kern,"November 11, 1945",18th,1945,Best Music (Song),Can't Help Singing,
Jerome Kern,"November 11, 1945",19th,1946,Best Music (Song),Centennial Summer,
William Kiernan,"November 19, 1973",46th,1973,Best Art Direction,The Way We Were,
Frederic Knudtson,"February 14, 1964",36th,1963,Best Film Editing,"It's a Mad, Mad, Mad, Mad World",
Albert Lamorisse,"June 2, 1970",51st,1978,Best Documentary (Feature),The Lovers' Wind,
