Pos,Class,No,Team,Drivers,Chassis,Engine,Laps,Irrelevant_1
34,S750,52,Ecurie Jeudy-Bonnet,Marc Azéma Alphonse de Burnay,DB HBR,Renault 0.7L I4,102,dhnCU
35,S2.0,44,Alexandre Constantin,Edmond Mouche Alexandre Constantin,Constantin Barquette,Peugeot 1.3L Supercharged I4,95,P8GfP
36,S5.0,12,Jaguar Cars Ltd.,Stirling Moss Peter Walker,Jaguar D-Type,Jaguar 3.4L I6,92,TdwBinqN
37,S5.0,3,Scuderia Ferrari,Umberto Maglioli Paolo Marzotto,Ferrari 375 Plus,Ferrari 5.0L V12,88,cc4ZxO5s
38,S1.1,46,Kieft Cars Ltd.,Alan Rippon William Black,Kieft,Coventry Climax 1.1L I4,86,VhEFqe
39,S1.1,65,Equipe Gordini,André Pilette Gilberte Thirion,Gordini T17S,Gordini 1.1L I4,76,3QXoSF
40,S3.0,19,Equipe Gordini,Jean Behra André Simon,Gordini T24S,Gordini 3.0L I8,76,49JJq
41,S3.0,22,David Brown,Carroll Shelby Paul Frére,Aston Martin DB3S,Aston Martin 2.9L I6,74,AmU46
42,S750,50,Guy Michel et André Guillard,Guy Michel André Guillard,Renault 4CV,Renault 0.7L I4,73,7XKPsB94
43,S3.0,21,David Brown,Ian Stewart Graham Whitehead,Aston Martin DB3S Coupe,Aston Martin 2.9L I6,64,1mPW4
44,S5.0,9,Ecurie Rossier,Jean-Louis Rosier Pierre Meyrat,Talbot-Lago T26 Gran Sport,Talbot-Lago 4.5L I6,62,ephOZ
45,S2.0,31,Equipe Gordini,Charles de Clareur André Moynet,Gordini T15,Gordini 2.0L I6,54,XqsswHV
