Pos,Class,No,Team,Drivers,Chassis,Engine,Laps,Noise_Field_1,Extra_Data_2,Random_Column_3
21,S1.5,42,Automobili O.S.C.A.,Jacques Péron Francesco Giardini,O.S.C.A. MT-4 1500,O.S.C.A. 1.5L I4,243,GRLmtGu,550,32BgkTYF
22,S5.0,8,David Brown,Reg Parnell Roy Salvadori,Aston Martin DB3S SC,Aston Martin 2.9L Supercharged I6,222,bDGCcl,916,5WwKVm
23,S1.1,63,Lucien Farnaud,Lucien Farnaud Adolfo Macchieraldo,O.S.C.A. MT-4 1100,O.S.C.A. 1.1L I4,199,vvktX,156,Znbepuuf
24,S750,49,Automobiles VP,Yves Giraud-Cabantous Just-Emile Verney,VP 166R,Renault 0.7L I4,190,WaCWFYq,782,sjXW3N
25,S5.0,5,Scuderia Ferrari,Robert Manzon Louis Rosier,Ferrari 375 Plus,Ferrari 5.0L V12,177,RktfxasR,654,p7QkTJ
26,S750,58,Automobiles Panhard et Levassor,Pierre Chancel Robert Chancel,Monopole X88,Panhard 0.6L Flat-2,157,kWoHyt,144,h5nSSywe
27,S1.5,41,Porsche KG,Hans Herrmann Helmut Polensky,Porsche 550/4 RS 1500 Spyder,Porsche 1.5L Flat-4,148,sUCWLFjJ,944,ILtcID
28,S3.0,20,David Brown,Prince Birabongse Bhanubandh Peter Collins,Aston Martin DB3S Coupe,Aston Martin 2.9L I6,138,Bqupw,434,cJpi8hMU
29,S5.0,15,Jaguar Cars Ltd.,Peter Whitehead Ken Wharton,Jaguar D-Type,Jaguar 3.4L I6,131,KpqoqXt,471,KvJ8HPUp
30,S3.0,27,Jean-Paul Colas,Jean-Paul Colas Hermano da Silva Ramos,Aston Martin DB2/4 Vignale,Aston Martin 2.9L I6,121,WlLuyM,900,vkgXWnn
31,S5.0,6,Briggs Cunningham,Phil Walters John Fitch,Ferrari 375MM,Ferrari 4.5L V12,120,RKegnNi,290,EFdNAy
32,S2.0,28,Officine Alfieri Maserati,Alfonso de Portago Carlo Tomasi,Maserati A6GCS,Maserati 2.0L I6,116,bwIFXtaN,529,b53nNx
33,S2.0,38,Automobiles Frazer Nash Ltd. Sture Nottorp,Sture Nottorp Ivar Andersson,Frazer Nash Le Mans,Bristol 2.0L I6,109,lsprxs,338,pa1Z8v
