Stage,Date,Route,Terrain,Length,Winner
1,22 June,Rennes – Lisieux,Plain stage,215 km (134 mi),Edward Sels (BEL)
2,23 June,Lisieux – Amiens,Plain stage,208 km (129 mi),André Darrigade (FRA)
3A,24 June,Amiens – Forest,Plain stage,197 km (122 mi),Bernard Vandekerkhove (BEL)
3B,24 June,Forest – Forest,Team time trial,21 km (13 mi),Kas-Kaskol
4,25 June,Forest – Metz,Plain stage,292 km (181 mi),Rudi Altig (GER)
5,26 June,Metz – Freiburg,Plain stage,161 km (100 mi),Willy Derboven (BEL)
6,27 June,Freiburg – Besançon,Plain stage,200 km (120 mi),Henk Nijdam (NED)
7,28 June,Besançon – Thonon-les-Bains,Plain stage,195 km (121 mi),Jan Janssen (NED)
8,29 June,Thonon-les-Bains – Briançon,Stage with mountain(s),249 km (155 mi),Federico Bahamontes (ESP)
9,30 June,Briançon – Monaco,Stage with mountain(s),239 km (149 mi),Jacques Anquetil (FRA)
10A,1 July,Monaco – Hyères,Plain stage,187 km (116 mi),Jan Janssen (NED)
10B,1 July,Hyères – Toulon,Individual time trial,21 km (13 mi),Jacques Anquetil (FRA)
11,2 July,Toulon – Montpellier,Plain stage,250 km (160 mi),Edward Sels (BEL)
