Year,Date,Venue,City,Country,Notes,Noise_Field_1
2012,Oct 27 - 31,Nara Prefectural New Public Hall,Nara,Japan,,oGxgfD
2011,Noc 28 - Dec 1st,Hyatt Regency Scottsdale Resort and Spa @ Gainey Ranch,"Scottsdale, Arizona",USA,,YbPFroma
2010,Oct 25 - 29,Palazzo degli Affari,Firenze,Italy,,QMMbUu
2009,Oct 19 - 24,Beijing Hotel,Beijing,China,,CAweukC
2008,Oct 27 – Nov 1,Pan Pacific Hotel,"Vancouver, BC",Canada,,KBmQbdR
2007,Sep 24-29,University of Augsburg,Augsburg,Germany,,kLLSeVkX
2006,Oct 23-27,Fess Parker's DoubleTree Resort Hotel,Santa Barbara,USA,ISBN 1-59593-447-2,mteseOo
2005,Nov 6-11,Hilton,Singapore,Singapore,ISBN 1-59593-044-2,RZehuA
2004,Oct 10-16,,New York,USA,ISBN 1-58113-893-8,OBkANWZ
2003,Nov 2-8,,"Berkeley, California",USA,ISBN 1-58113-722-2,utrJI
