Area served,City of license,VC,RF,Callsign,Network,Notes,Random_Column_1,Extra_Data_2,Extra_Data_3
Indianapolis,Bloomington,42,42,WCLJ-TV,TBN,,ZUj9DLW,61,205
Indianapolis,Indianapolis,59,45,WXIN,Fox,,BA6Snz,898,882
Indianapolis,Bloomington,63,27,WIPX-TV,ION,,DH9BrwVG,779,497
Indianapolis,Indianapolis,69,44,WDTI,Daystar,,uaDNx1ih,233,162
Kokomo,Kokomo,29,29,WTTK,CW,satellite of WTTV ch. 4 Indianapolis,fxaLusZ,105,595
Lafayette,Lafayette,18,11,WLFI-TV,CBS,,RQw4moC,291,225
Muncie,Muncie,49,23,WIPB,PBS,,9Pdws,190,335
South Bend,South Bend,16,42,WNDU-TV,NBC,,EaJsW,760,280
South Bend,South Bend,22,22,WSBT-TV,CBS,,FaXfP,708,651
South Bend,Elkhart,28,28,WSJV,Fox,,O0ftnat,594,247
