Round,Round,Circuit,Date,Pole Position,Fastest Lap,Winning Rider,Unused_1
7,R2,Österreichring,1 July,Stéphane Mertens,Stéphane Mertens,Stéphane Mertens,
8,R1,Sugo,26 August,Raymond Roche,Raymond Roche,Raymond Roche,
8,R2,Sugo,26 August,Raymond Roche,Peter Goddard,Doug Chandler,
9,R1,Le Mans,9 September,Baldassarre Monti,Raymond Roche,Raymond Roche,
9,R2,Le Mans,9 September,Baldassarre Monti,Jamie James,Raymond Roche,
10,R1,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,
10,R2,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,
11,R1,Shah Alam,4 November,Rob Phillis,Fabrizio Pirovano,Fabrizio Pirovano,
11,R2,Shah Alam,4 November,Rob Phillis,Raymond Roche,Fabrizio Pirovano,
12,R1,Phillip Island,11 November,Peter Goddard,Fabrizio Pirovano,Peter Goddard,
12,R2,Phillip Island,11 November,Peter Goddard,Malcolm Campbell,Rob Phillis,
13,R1,Manfeild,18 November,Rob Phillis,Brian Morrison,Terry Rymer,
13,R2,Manfeild,18 November,Rob Phillis,Raymond Roche,Rob Phillis,
