Round,Round,Circuit,Date,Pole Position,Fastest Lap,Winning Rider
1,R1,Jerez,18 March,Raymond Roche,Stéphane Mertens,Raymond Roche
1,R2,Jerez,18 March,Raymond Roche,Raymond Roche,Raymond Roche
2,R1,Donington,16 April,Giancarlo Falappa,Rob Phillis,Fred Merkel
2,R2,Donington,16 April,Giancarlo Falappa,Raymond Roche,Giancarlo Falappa
3,R1,Hungaroring,30 April,Malcolm Campbell,Raymond Roche,Fred Merkel
3,R2,Hungaroring,30 April,Malcolm Campbell,Fred Merkel,Raymond Roche
4,R1,Hockenheim,6 May,Raymond Roche,Fred Merkel,Fred Merkel
4,R2,Hockenheim,6 May,Raymond Roche,Raymond Roche,Stéphane Mertens
5,R1,Mosport,3 June,Giancarlo Falappa,Raymond Roche,Raymond Roche
5,R2,Mosport,3 June,Giancarlo Falappa,Jamie James,Raymond Roche
6,R1,Brainerd,10 June,Doug Chandler,Doug Chandler,Stéphane Mertens
6,R2,Brainerd,10 June,Doug Chandler,Fabrizio Pirovano,Doug Chandler
7,R1,Österreichring,1 July,Stéphane Mertens,Rob McElnea,Fabrizio Pirovano
