Song,Artist(s),Concert,Film,1978 album,2002 album,Random_Column_1,Unused_2
"\Furry Sings the Blues\""""",Joni Mitchell,25,-,-,23,PxmUtRUA,
"\Dry Your Eyes\""""",Neil Diamond,26,13,7,25,8b7uv0CG,
"\Tura Lura Lural (That's an Irish Lullaby)\""""",Van Morrison,27,-,17,27,GUzwE52,
"\Caravan\""""",Van Morrison,28,21,18,28,Gm64bcSR,
"\Acadian Driftwood\""""","The Band, Neil Young and Joni Mitchell",29,-,-,24,ZMpYW,
"\Genetic Method\""/\""Chest Fever\""""",The Band,30,19,-,30,5rlqIZMg,
"\The Last Waltz Suite: Evangeline\"" (concert version)""",The Band,31,-,-,-,HW53ncX,
"\The Weight\"" (concert version)""",The Band,32,-,-,8,5UscxeLo,
\Baby," Let Me Follow You Down\""""",Bob Dylan,33,-,20,vlFg2mv,
"\Hazel\""""",Bob Dylan,34,-,-,32,r5P3bXxM,
"\I Don't Believe You\""""",Bob Dylan,35,-,21,33,ZcsPwLi7,
"\Forever Young\""""",Bob Dylan,36,23,22,34,mQfGgajd,
