Song,Artist(s),Concert,Film,1978 album,2002 album
"\Who Do You Love?\""""",Ronnie Hawkins,13,5,3,5
"\Such a Night\""""",Dr. John,14,8,9,7
"\Down South in New Orleans\""""",Bobby Charles and Dr. John,15,-,15,9
"\Mystery Train\""""",Paul Butterfield,16,15,11,11
"\Caldonia\""""",Muddy Waters,17,-,-,12
"\Mannish Boy\""""",Muddy Waters,18,16,12,13
"\All Our Past Times\""""",Eric Clapton,19,-,-,16
"\Further on Up the Road\""""",Eric Clapton,20,17,13,17
"\Helpless\""""",Neil Young,21,9,4,19
"\Four Strong Winds\""""",Neil Young,22,-,-,20
"\Coyote\""""",Joni Mitchell,23,14,6,21
"\Shadows and Light\""""",Joni Mitchell,24,-,-,22
