Name,State,Status,Title,Appointment,CredentialsPresented,Terminationof Mission,Notes
"Harry G. Barnes, Jr.",Maryland,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Oct 1, 1981","Nov 17, 1981","Left post, Jun 27, 1985",
John Gunther Dean,New York,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Aug 2, 1985","Sep 6, 1985","Left post Nov 7, 1988",
John R. Hubbard,California,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Nov 22, 1988","Dec 27, 1988","Left post Nov 15, 1989",Commissioned during a recess of the Senate.
"William Clark, Jr.",District of Columbia,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Oct 10, 1989","Dec 22, 1989","Left post, Jul 2, 1992",
Thomas R. Pickering,New Jersey,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Apr 6, 1992","Aug 14, 1992","Left post, Mar 23, 1993","Kenneth Brill served as Chargé d'Affaires ad interim, Mar 1993-Aug 1994."
Frank G. Wisner,District of Columbia,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Jun 9, 1994","Aug 2, 1994","Left post, July 12, 1997",
Richard Frank Celeste,Ohio,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Nov 10, 1997","Nov 28, 1997","Left post Apr 25, 2001",
Robert Blackwill,Kansas,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Jul 12, 2001","Sep 14, 2001","Left post Jul 31, 2003",
David Campbell Mulford,Illinois,Non-career officer,Ambassador Extraordinary and Plenipotentiary,"Dec 12, 2003","Feb 23, 2004",Left post February 2009,
Timothy J. Roemer,Indiana,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Jul 23, 2009","Aug 11, 2009","Left post June 30, 2011",
Albert Peter Burleigh,California,Foreign Service officer,Chargé d'affaires,June 2011,Left post 2012,,
Nancy Jo Powell,Iowa,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"February 7, 2012","April 19, 2012",,
