Name,State,Status,Title,Appointment,CredentialsPresented,Terminationof Mission,Notes,Irrelevant_1,Extra_Data_2,Random_Column_3
Henry F. Grady,California,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Apr 10, 1947","Jul 1, 1947","Left post, Jun 22, 1948",Accredited also to Nepal; resident at New Delhi.,tAdiW,320,V2Oxy
Loy W. Henderson,Colorado,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Jul 14, 1948","Nov 19, 1948","Reaccredited when India became a republic; presented new credentials Feb 24, 1950; left post Sep 21, 1951","Commissioned during a recess of the Senate; recommissioned after confirmation on Mar 2, 1949. Also accredited to Nepal; resident at New Delhi.",C6ik0w9,637,piV85
Chester Bowles,Connecticut,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Oct 10, 1951","Nov 1, 1951","Left post, Mar 23, 1953",Also accredited to Nepal; resident at New Delhi.,Qz6IS,91,YhKz6J0
George V. Allen,North Carolina,Foreign Service officer,Ambassador Extraordinary and Plenipotentiary,"Mar 11, 1953","May 4, 1953","Left post, Nov 30, 1954",Also accredited to Nepal; resident at New Delhi.,MfIqo,144,69PR0Qlt
John Sherman Cooper,Kentucky,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Feb 4, 1955","Apr 9, 1955","Left post, Apr 23, 1956",Also accredited to Nepal; resident at New Delhi.,iK9O4,214,S2Mx7f7
Ellsworth Bunker,Vermont,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Nov 28, 1956","Mar 4, 1957","Left India, Mar 23, 1961","Also accredited to Nepal; resident at New Delhi. Commissioned during a recess of the Senate; recommissioned after confirmation on Jan 25, 1957.",BhAhCY1,942,f3m7o
John Kenneth Galbraith,Massachusetts,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Mar 29, 1961","Apr 18, 1961","Left post, Jul 12, 1963",,oXFBV9O,554,PmpQjt
Chester Bowles,Connecticut,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"May 3, 1963","Jul 19, 1963","Left post, Apr 21, 1969",,mDFMI,580,GTXcZ
Kenneth B. Keating,New York,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"May 1, 1969","Jul 2, 1969","Left post, Jul 26, 1972",,w5MwUuZ,492,w0XnFv1
Daniel P. Moynihan,New York,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Feb 8, 1973","Feb 28, 1973","Left post, Jan 7, 1975",,LVVkXU45,546,Bz2wv
William B. Saxbe,Ohio,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Feb 3, 1975","Mar 8, 1975","Left post, Nov 20, 1976",,iUUJY,791,24hygGnH
Robert F. Goheen,New Jersey,Non-career appointee,Ambassador Extraordinary and Plenipotentiary,"Apr 26, 1977","May 26, 1977","Left post, Dec 10, 1980",,AtmacEa,591,XywOTncw
