Trial Number,Date,Name of Trial,Celebrity/ies Taking Part,Winner/Number of Stars,Notes,Extra_Data_1,Noise_Field_2
1,13 November 2006,Mineshaft Misery,Jan,,None,5,qOYQh
2,14 November 2006,Flash Flood,David,,None,848,OYHqdOaW
3,15 November 2006,Jungle Boogie,Scott,,,543,zhszEnXz
4,16 November 2006,Treetop Terror,JanScott,,None,902,XRjFi
5 (Live),17 November 2006,Jungle Spa,Dean,,,474,aWttcLrx
6,18 November 2006,Operation,PhinaJason,,,366,iwvhNv
7,19 November 2006,Snake Bite,Jan,,,729,OWAfcp
8,20 November 2006,Bull in a China Shop,Jan,,None,592,PtNkgz
9,21 November 2006,Catch A Falling Star,JanScott,Jan,,74,nsLVzQs
10,22 November 2006,Bushtucker Duel,JanScott,Scott,None,801,QLomo
11,23 November 2006,What Lurks Beneath,PhinaScott,Phina,,237,qhVSgd
