Trial Number,Date,Name of Trial,Celebrity/ies Taking Part,Winner/Number of Stars,Notes
12,24 November 2006,Thunderball,JasonMalandraMatt,,None
13,25 November 2006,Jungle Falls,DeanLaurenPhina,,None
14,26 November 2006,Tomb of Torment,Myleene,,None
15,27 November 2006,Shooting Gallery,DavidJasonMatt,,None
16,28 November 2006,Skyscrape,MalandraMyleene,,None
17,29 November 2006,Temple of Doom,Dean,,None
18,30 November 2006,Celebrity Cyclone,JasonMyleeneMatt,,None
19,1 December 2006,Bushtucker Bonanza,Matt,,None
20,1 December 2006,Fill Your Face,Jason,,None
21,1 December 2006,Scareoke,Myleene,,None
