#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Extra_Data_1
97,July 18,@ Braves,7–6,Hudson (10–7),Redding (7–4),González (4),"39,861",36–61,274
98,July 19,@ Braves,8–2,Lannan (6–9),Jurrjens (9–5),,"43,285",37–61,686
99,July 20,@ Braves,15–6,Pérez (3–7),Reyes (3–9),,"29,320",38–61,236
100,July 22,@ Giants,6–3,Zito (5–12),Bergmann (1–7),Wilson (26),"34,813",38–62,271
101,July 23,@ Giants,6–4,Espineli (1–0),Ayala (1–6),Wilson (27),"35,539",38–63,942
102,July 24,@ Giants,1–0,Cain (6–8),Redding (7–5),,"36,963",38–64,316
103,July 25,@ Dodgers,3–2,Billingsley (10–9),Lannan (6–10),Broxton (3),"47,313",38–65,486
104,July 26,@ Dodgers,6–0,Lowe (8–8),Pérez (3–8),,"42,122",38–66,833
105,July 27,@ Dodgers,2–0,Kershaw (1–3),Bergmann (1–8),Broxton (4),"38,660",38–67,74
106,July 29,Phillies,2–1,Myers (4–9),Balester (1–3),Lidge (25),"34,039",38–68,617
107,July 30,Phillies,8–5,Moyer (10–6),Redding (7–6),Lidge (26),"31,798",38–69,954
108,July 31,Phillies,8–4,Kendrick (9–5),Lannan (6–11),,"31,658",38–70,998
