#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record
85,July 1,@ Marlins,9–6,Balester (1–0),Hendrickson (7–7),,"12,166",34–51
86,July 2,@ Marlins,4–2,Nolasco (9–4),Manning (0–2),,"23,624",34–52
87,July 3,@ Reds,5–3,Cueto (7–8),Colomé (2–2),Cordero (16),"23,259",34–53
88,July 4,@ Reds,3–0,Arroyo (6–7),Bergmann (1–6),Cordero (17),"22,626",34–54
89,July 5,@ Reds,3–2,Cordero (4–1),Hanrahan (5–3),,"37,121",34–55
90,July 6,@ Reds,6–5,Volquez (11–3),Balester (1–1),Cordero (18),"28,814",34–56
91,July 8,D-backs,2–0,Webb (13–4),Pérez (2–6),Lyon (19),"26,820",34–57
92,July 9,D-backs,5–0,Lannan (5–9),Owings (6–8),,"25,862",35–57
93,July 10,D-backs,7–5 (11),Qualls (2–6),Ayala (1–5),,"27,330",35–58
94,July 11,Astros,10–0,Redding (7–3),Paronto (0–1),Shell (1),"33,653",36–58
95,July 12,Astros,6–4,Rodríguez (4–3),Balester (1–2),Valverde (24),"30,682",36–59
96,July 13,Astros,5–0,Backe (6–9),Pérez (2–7),,"31,463",36–60
