Name,Nationality,Matches played,Goals scored,Notes,Dummy_Col_1
Adama Traore,Cote d'Ivoire,22,0,First Ivorian to play for Melbourne,vGkAM
Adrian Caceres,Australia,42,6,,BVQIsA
Adrian Leijer,Australia,142,6,Club captain - 2011–13,xzRvynjN
Alessandro Viana da Silva,Brazil,17,0,,dMfjyeC
Andrew Nabbout,Australia,21,4,,tfCun
Andrew Vlahos,Australia,18,0,,iqXPV
Ante Čović,Australia,24,0,,ESOUirEc
Antun Kovacic,Australia,2,0,,jjgbUaW
Archie Thompson,Australia,160,69,Melbourne's first ever signingFirst dual-nationality signingScored Melbourne's first ever goalScored Melbourne's first ever away goal,yHXfx
Aziz Behich,Australia,5,0,First player to switch from Melbourne to Heart,TaAjKGZ
Billy Celeski,Australia,91,2,,zYiEDyz
