Name,Nationality,Matches played,Goals scored,Notes,Random_Column_1
Diogo Ferreira,Australia,52,2,,FzylRz
Dylan Murnane,Australia,2,0,,TjCmZMA
Eugene Galeković,Australia,15,0,,MRnnyKCA
Evan Berger,Australia,43,0,,UMXO1eA
Fábio Alves,Brazil,23,1,,ePouBE
Francesco Stella,Australia,7,0,,p5WwB
Fred Carreiro,Brazil,20,4,First Brazilian to play for Melbourne,6fFVvKIu
Geoff Kellaway,Wales,9,0,First Welsh to play for Melbourne,ewf44
Geoffrey Claeys,Belgium,16,0,First Belgian to play for Melbourne,P5zhUzdq
Glen Moss,New Zealand,14,0,First New Zealander to play for Melbourne,PNQzfvEJ
