Name,Nationality,Matches played,Goals scored,Notes,Irrelevant_1
Ricardo Weslei de Campelo,Brazil,19,2,,S3Vks
Richard Kitzbichler,Austria,18,5,First Austrian to play for MelbourneScored Melbourne's first home goal,ywimjG
Ricky Diaco,Australia,13,1,,Q74rw
Robbie Kruse,Australia,39,16,,3zSvcbp
Rodrigo Vargas,Australia,139,7,,aTRiIeC
Sam Gallagher,Australia,2,0,,MCNbaaNZ
Scott Galloway,Australia,11,0,,uyIGR
Sebastian Ryall,Australia,24,0,,8u5X5
Simon Storey,Australia,32,0,,xpduz7
Spase Dilevski,Australia,14,1,,ck0xyB
