Year,Film,Language,Actors,Music,Banner,Note
1975,Jagruthi,Hindi,,,,
1976,Oh Manju,Tamil,"Master Sekhar, Kavitha",M. S. Viswanathan,Chitrodaya Films,
1977,Seeta Geeta Datithe,Hindi,,,,
1977,Meenava Nanban,Tamil,"MGR, Latha, Nagesh",M. S. Viswanathan,Muthu Enterprises,
1978,Ilamai Oonjalaadugirathu,Tamil,"Kamal Hassan, Rajinikanth, Sripriya, Jayachitra",Ilaiyaraaja,Chithrakala Pictures,
1979,Urvasi Niney Naa Priyasi,,,,,
1979,Azhage Unnai Aarathikkirean,Tamil,"Vijayakumar, Latha, Jaiganesh",Ilaiyaraaja,Sri Bharani Chitra,
1980,Saundariyame Varuga Varuga,Tamil,"Sivachandran, Sripriya, Prakash, Rathi",Vijaya Bhaskar,,
1980,Hare Krishna Hello Radha,,,,,
1981,Mohana Ponnagai,Tamil,"Sivaji Ganesan, Geetha Kumarasinghe, Jayabharathi, Padmapriya, Anuradha",M. S. Viswanathan,Sarathi Motion Pictures,
1982,Ninaivellam Nithya,Tamil,"Karthik, Jiji, Nizhalgal Ravi",Ilaiyaraaja,Sivasakthi Films,
