Year,Film,Language,Actors,Music,Banner,Note
1954,Ratha Paasam,Tamil,"T. K. Shanmugam, T. K. Bhagavathi, Anjali Devi",M. K. Athmanathan,Jupiter Pictures & Avvai Productions,directed by R. S. ManiStory & Dialogues only
1954,Edhir Paradhathu,Tamil,"Sivaji Ganesan, Padmini, Chittor V. Nagaiah",C. N. Pandurangan,Saravanabava Pictures & Unity Pictures,directed by Ch. NarayanamoorthyStory & Dialogues only
1955,Maheswari,Tamil,"Sivaji Ganesan, K. Savithri, K. A. Thangavelu",G. Ramanathan,Modern Theatres,directed by T. R. RaghunathStory & Dialogues only
1955,Latchadhipathi,Tamil,"N. T. Rama Rao, A. Nageswara Rao, K. Savithri",T. Chalapathi Rao,Janata Productions,directed by T. Prakash RaoDialogues only
1955,Maman Magal,Tamil,"Gemini Ganesan, K. Savithri, J. P. Chandrababu",S. V. Venkatraman,Mani Productions,directed by R. S. ManiDialogues only
1956,Amara Deepam,Tamil,"Sivaji Ganesan, K. Savithri, Padmini, K. A. Thangavelu",T. Chalapathi Rao,Venus Pictures,directed by T. Prakash RaoStory & Dialogues only
1956,Bhaai Bhaai,Hindi,"Ashok Kumar, Kishore Kumar",,AVM Productions,directed by M. V. RamanStory only
1956,Madhar Kula Manikkam,Tamil,"A. Nageswara Rao, Gemini Ganesan, Anjali Devi, K. Savithri",S. Rajeswara Rao,Lalitha Films,directed by T. Prakash RaoDialogues only
1957,Engal Veettu Mahalakshmi,Tamil,"A. Nageswara Rao, K. Savithri, K. A. Thangavelu",Master Venu,Annapurna Pictures,directed by G. RamineeduDialogues only
1957,Yaar Paiyan,Tamil,"Gemini Ganesan, K. Savithri",S. Dakshinamurthi,Vijaya Films,directed by T. R. RaghunathDialogues only
1958,Uthama Puthiran,Tamil,"Sivaji Ganesan, Padmini, K. A. Thangavelu",G. Ramanathan,Venus Pictures,directed by T. Prakash RaoStory & Dialogues only
1959,Manjal Mahimai,Tamil,"A. Nageswara Rao, K. Savithri, K. A. Thangavelu",S. Rajeswara Rao & Master Venu,Annapurna Pictures,directed by A. Subba RaoDialogues only
