Year,Film,Language,Actors,Music,Banner,Note,Extra_Data_1
1963,Dil Ek Mandir,Hindi,"Rajendra Kumar, Meena Kumari, Raaj Kumar, Mehmood",Shankar Jaikishan,Chitralaya Films,,142
1964,Kalai Kovil,Tamil,"R. Muthuraman,",Viswanathan Ramamoorthy,Bhagyalakshmi Pictures,,501
1964,Kaadhalikka Neramillai,Tamil,"R. Muthuraman, Ravichandran, Kanchana, Rajasree, Nagesh",Viswanathan Ramamoorthy,Chitralaya Films,,525
1965,Vennira Aadai,Tamil,"Sreekanth, J. Jayalalitha, Vennira Aadai Nirmala, Vennira Aadai Moorthy",Viswanathan Ramamoorthy,Chitralaya Films,,894
1966,Pyar Kiye Jaa,Hindi,"Kishore Kumar, Shashi Kapoor, Mumtaz, Rajasree, Mehmood",Laxmikant-Pyarelal,,,567
1966,Manase Mandiram,Telugu,,,,,830
1966,Kodimalar,Tamil,"R. Muthuraman, C. R. Vijayakumari, Nagesh",M. S. Viswanathan,Sri Productions,,944
1967,Nenjirukkum varai,Tamil,"Sivaji Ganesan, R. Muthuraman, K. R. Vijaya",M. S. Viswanathan,Chitralaya Films,,880
1967,Nai Roshni,Hindi,,,,,793
1967,Ooty Varai Uravu,Tamil,"Sivaji Ganesan, R. Muthuraman, K. R. Vijaya, L. Vijayalakshmi, Nagesh",M. S. Viswanathan,KC Films,,908
1968,Saathi,Hindi,"Rajendra Kumar, Vyjayanthimala, Simi Garewal",Naushad,Venus Pictures,,736
