Year,Film,Language,Actors,Music,Banner,Note,Extra_Data_1
1959,Kalyana Parisu,Tamil,"Gemini Ganesan, B. Saroja Devi, C. R. Vijayakumari, K. A. Thangavelu",A. M. Rajah,Venus Pictures,,154
1960,Pelli Kanukka,Telugu,"A. Nageswara Rao, B. Saroja Devi, C. R. Vijayakumari",A. M. Rajah,Venus Pictures,,197
1960,Vidivelli,Tamil,"Sivaji Ganesan, K. Balaji, B. Saroja Devi, M. N. Rajam",A. M. Rajah,Prabhuram Pictures,,646
1960,Meenda Sorgam,Tamil,"Gemini Ganesan, Padmini",T. Chalapathi Rao,Madhuram Pictures,,400
1961,Then Nilavu,Tamil,"Gemini Ganesan, Vyjayanthimala, K. A. Thangavelu",A. M. Rajah,Chitralaya Films,,308
1961,Punarjenmam,Tamil,"Sivaji Ganesan, Padmini, T. R. Ramachandran",T. Chalapathi Rao,Vijaya Films,,106
1961,Nazrana,Hindi,"Raj Kapoor, Vyjayanthimala, Usha Kiran",Ravi,,,92
1962,Sumaithaangi,Tamil,"Gemini Ganesan, Devika",Viswanathan Ramamoorthy,Visalakshi Productions,,640
1962,Policekaran Magal,Tamil,"R. Muthuraman, K. Balaji, C. R. Vijayakumari",Viswanathan Ramamoorthy,Chithrakala Pictures,,909
1962,Nenjil Or Aalayam,Tamil,"R. Muthuraman, Kalyan Kumar, Devika",Viswanathan Ramamoorthy,Chitralaya Films,,754
1963,Nenjam Marappathillai,Tamil,"Kalyan Kumar, Devika",Viswanathan Ramamoorthy,Manohar Pictures,,383
