Year,Film,Language,Actors,Music,Banner,Note
1969,Sivandha Mann,Tamil,"Sivaji Ganesan, R. Muthuraman, Kanchana",M. S. Viswanathan,Chitralaya Films,
1970,Uttharavindri Ulley Vaa,Tamil,"Ravichandran, Kanchana, Vennira Aadai Moorthy",M. S. Viswanathan,Chitralaya Films,
1970,Dharti,Hindi,"Rajendra Kumar, Rajendra Nath, Waheeda Rehman,",Shankar Jaikishan,,
1971,Duniya Kya Jane,Hindi,,,,
1971,Avalukendru Oru Manam,Tamil,"Gemini Ganesan, R. Muthuraman, Bharathi, Kanchana, Sreekanth",M. S. Viswanathan,Chitralaya Films,
1973,Alaigal,Tamil,"Vishnuvardhan, Chandrakala",M. S. Viswanathan,Chitralaya Films,
1973,Gehri Chaal,Hindi,"Amitabh Bachchan, Jeetendra, Hema Malini",Laxmikant-Pyarelal,Chitralaya Films,
1974,Urimai Kural,Tamil,"MGR, Latha",M. S. Viswanathan,Chitrayuga Films,
1975,Vaira Nenjam,Tamil,"Sivaji Ganesan, R. Muthuraman, Padmapriya",M. S. Viswanathan,Chitralaya Films,
1975,Ninagai Nanu,Telugu,,,,
1975,Lakshmi Nirdoshi,,,,,
