Date,Venue,Score,Victor,Comments,Match reports,Filler_1
11 June 1988,"Eden Park, Auckland",54 – 9,New Zealand,1988 Wales Tour,,KAwkLbz
28 May 1988,"Lancaster Park, Christchurch",52 – 3,New Zealand,1988 Wales Tour,,jPcvlHx
14 June 1987,"Ballymore, Brisbane",49 – 6,New Zealand,1987 Rugby World Cup,,yXbvHf
1 November 1980,"National Stadium, Cardiff",3 – 23,New Zealand,1980 NZ Tour,,eXHEkcOO
11 November 1978,"National Stadium, Cardiff",12 – 13,New Zealand,1978 NZ Tour,,eLWJWWUW
2 December 1972,"National Stadium, Cardiff",16 – 19,New Zealand,1972/73 NZ Tour,,aDTLoy
14 June 1969,"Eden Park, Auckland",33 – 12,New Zealand,1969 Wales Tour,,eRbmjdjr
31 May 1969,"Lancaster Park, Christchurch",19 – 0,New Zealand,1969 Wales Tour,,PNVYm
11 November 1967,"National Stadium, Cardiff",6 – 13,New Zealand,"1967 New Zealand rugby union tour of Britain, France and Canada",,QFGlOA
21 December 1963,"National Stadium, Cardiff",0 – 6,New Zealand,1963/64 NZ Tour,,nVhzOfBw
19 December 1953,"National Stadium, Cardiff",13 – 8,Wales,1953/54 NZ Tour,,bPWhkk
21 December 1935,"National Stadium, Cardiff",13 – 12,Wales,1935/36 NZ Tour,,VlAnl
29 November 1924,"St Helen's, Swansea",0 – 19,New Zealand,The Invincibles Tour,,sXYoDmwT
16 December 1905,"Cardiff Arms Park, Cardiff",3 – 0,Wales,The Originals Tour,,jYWPX
