,Name on the Register,Date listed,Location,City or town,Summary,Irrelevant_1,Noise_Field_2
34,Rangeley Public Library,"July 12, 1978(#78000161)",Lake St.44°57′53″N 70°38′38″W﻿ / ﻿44.964722°N 70.643889°W,Rangeley,,B8Icoy,dfIQCG
35,Salem Town House (Former),"August 5, 2005(#05000795)",State Route 14244°54′05″N 70°16′35″W﻿ / ﻿44.901389°N 70.276389°W,Salem,,THTpmZ,xgLZOguU
36,Temple Intervale School,"February 8, 1985(#85000240)",Temple Intervale44°41′54″N 70°14′45″W﻿ / ﻿44.698333°N 70.245833°W,Temple,,usiIreNY,UNufegCG
37,Thompson's Bridge,"March 22, 1991(#91000321)",Over Thompson's Creek off the northern side of State Route 43 at the Franklin-Somerset county line44°43′36″N 70°00′25″W﻿ / ﻿44.726667°N 70.006944°W,Allen's Mills,,YwHALYln,wBgLavo
38,Tufts House,"May 8, 1979(#79000130)",Southeast of Farmington on U.S. Route 244°38′10″N 70°05′35″W﻿ / ﻿44.636111°N 70.093056°W,Farmington,,ljo5bEz0,qlTmmSA
39,Union Church,"July 13, 1989(#89000844)",Main and Pleasant Sts.44°49′24″N 70°20′23″W﻿ / ﻿44.823333°N 70.339722°W,Phillips,,JCjfvCv,hKaYP
40,Upper Dallas School,"February 9, 1990(#89002345)",Saddleback Rd.44°57′55″N 70°36′08″W﻿ / ﻿44.965278°N 70.602222°W,Dallas Plantation,,oZhxpvj,jZzBRot
41,Weld Town Hall,"June 27, 2007(#07000597)",17 School St.44°41′51″N 70°25′12″W﻿ / ﻿44.6975°N 70.42°W,Weld,,16IiZoD,DFHPSy
42,Capt. Joel Whitney House,"April 22, 2003(#03000293)",8 Pleasant St.44°49′22″N 70°20′24″W﻿ / ﻿44.822778°N 70.34°W,Phillips,,ETGtlav,zksEM
43,Amos G. Winter House,"May 3, 1976(#76000191)",Winter's Hill off State Route 2744°57′33″N 70°09′37″W﻿ / ﻿44.959167°N 70.160278°W,Kingfield,,Nh22QZd,YtEaNiNl
