,Name on the Register,Date listed,Location,City or town,Summary,Random_Column_1,Noise_Field_2
1,Arnold Trail to Quebec,"October 1, 1969(#69000018)","Along the Kennebec River, through Wayman and Flagstaff lakes along the Dead River and Chain of Ponds to Quebec44°40′49″N 69°59′18″W﻿ / ﻿44.680278°N 69.988333°W",Coburn Gore,"Extends through Franklin, Kennebec, Sagadahoc, and Somerset counties",lFDwBz,zvSQkeF
2,"Barn on Lot 8, Range G","August 24, 2011(#11000581)",816 Foster Hill Rd.44°51′29″N 70°13′20″W﻿ / ﻿44.858056°N 70.222222°W,Freeman Township,,ndrrS5,qgKDImt
3,Bass Boarding House,"April 7, 1988(#88000396)",Canal St.44°35′12″N 70°13′58″W﻿ / ﻿44.586667°N 70.232778°W,Wilton,,nPbI1,WQVew
4,Ora Blanchard House,"January 15, 1980(#80000215)",Main St.45°08′32″N 70°26′42″W﻿ / ﻿45.142222°N 70.445°W,Stratton,,CwXKXPO,SsKVRUi
5,John G. Coburn,"April 11, 2002(#02000347)",360 River Rd.44°37′36″N 70°28′36″W﻿ / ﻿44.626667°N 70.476667°W,Carthage,"Perhaps the \John G. Coburn House\""?""",ZxiYw5,kmIMFU
6,Coplin Plantation Schoolhouse,"September 11, 1997(#97001132)",State Route 16 approximately 4.5 miles southwest of its junction with State Route 2745°05′32″N 70°29′55″W﻿ / ﻿45.092222°N 70.498611°W,Coplin Plantation,,F7XAvHB,pQDeXSQ
7,Cutler Memorial Library,"November 2, 1973(#73000104)",Academy and High Sts.44°40′09″N 70°08′55″W﻿ / ﻿44.669167°N 70.148611°W,Farmington,,l9X2OB,TcaOc
8,Farmington Historic District,"January 20, 1995(#94001551)","Roughly bounded by High, Academy, Anson, and Grove Sts.44°40′14″N 70°08′58″W﻿ / ﻿44.670556°N 70.149444°W",Farmington,Boundary decrease (listed 4/27/2010),raLRE,KFfczi
9,"First Congregational Church, United Church of Christ","July 25, 1974(#74000149)",Main St.44°40′04″N 70°09′00″W﻿ / ﻿44.667778°N 70.15°W,Farmington,,hZalStLE,oolwHz
10,Franklin County Courthouse,"October 6, 1983(#83003641)",Main and Anson Sts.44°40′17″N 70°09′08″W﻿ / ﻿44.671389°N 70.152222°W,Farmington,,VlVZiX,ImvhsKN
11,Free Will Baptist Meetinghouse,"August 28, 1973(#73000264)",Main St.44°40′08″N 70°09′03″W﻿ / ﻿44.668889°N 70.150833°W,Farmington,,RnhmXRm4,gwwuCs
