,Name on the Register,Date listed,Location,City or town,Summary,Dummy_Col_1,Extra_Data_2
23,New Sharon Bridge,"September 24, 1999(#99001189)",South of U.S. Route 2 over the Sandy River44°38′16″N 70°00′56″W﻿ / ﻿44.637778°N 70.015556°W,New Sharon,To be demolished,sEOVDH,183
24,New Sharon Congregational Church,"June 20, 1985(#85001261)",State Route 13444°38′10″N 70°00′50″W﻿ / ﻿44.636111°N 70.013889°W,New Sharon,,YoiLOGve,987
25,Nordica Homestead,"December 23, 1969(#69000006)",North of Farmington on Holly Rd. off State Route 2744°41′42″N 70°08′43″W﻿ / ﻿44.695°N 70.145278°W,Farmington,,NfbeRT,734
26,North Jay Grange Store,"October 23, 1974(#74000150)",State Route 1744°33′15″N 70°14′09″W﻿ / ﻿44.554167°N 70.235833°W,North Jay,,ZeSyJy,729
27,William F. Norton House,"July 8, 1982(#82000741)",1 Stanley Ave.44°57′39″N 70°09′06″W﻿ / ﻿44.960833°N 70.151667°W,Kingfield,,EJUmsJ,460
28,Old Union Meetinghouse,"October 30, 1973(#73000106)",U.S. Route 244°37′26″N 70°04′40″W﻿ / ﻿44.623889°N 70.077778°W,Farmington,,GZfgQZtk,887
29,Oquossoc Log Church,"July 19, 1984(#84001368)",State Route 444°58′00″N 70°46′14″W﻿ / ﻿44.966667°N 70.770556°W,Rangeley,,rmQGS,733
30,Orgone Energy Observatory,"January 29, 1999(#98001602)","Western side of Dodge Pond Rd., 0.65 miles north of the junction of State Routes 4/1644°58′54″N 70°43′05″W﻿ / ﻿44.981667°N 70.718056°W",Rangeley,,gHHhLmwi,404
31,Porter-Bell-Brackley Estate,"November 10, 1980(#80000218)",Lower Main St.44°48′16″N 70°13′14″W﻿ / ﻿44.804444°N 70.220556°W,Strong,,KnnbZzt,153
32,Hiram Ramsdell House,"December 4, 1973(#73000107)",High and Perham Sts.44°40′17″N 70°08′59″W﻿ / ﻿44.671389°N 70.149722°W,Farmington,,ppxDJQWc,729
33,Rangeley Trust Company Building,"July 13, 1989(#89000846)",Main St.44°57′50″N 70°38′32″W﻿ / ﻿44.963889°N 70.642222°W,Rangeley,,PzFJQdOd,215
