Year,Title,Role,Notes,Irrelevant_1,Extra_Data_2
1989,Looking for Miracles,Nurse Blanche,TV movie,KSXQd8f,734
1990–1996,Road to Avonlea,Olivia King Dale,91 episodes,Ctg0Qjdg,263
1991,A Stranger in the Family,Mrs. Kessler,TV movie,Qdhf8,531
1996,Goosebumps,Mrs. Mathews,"Episode: \Attack of the Mutant\""""",08jzZ,17
1998,"Happy Christmas, Miss King",Olivia Dale,TV movie,jJxZjb2,412
1999,Shadow Lake,Louise Garby,TV movie,5mR1uJ7G,119
1999,My Grandmother Ironed the King's Shirts,Narrator (voice),Animated short,KNxdj3OJ,428
2000–2001,Timothy Goes to School,Lilly (voice),Series regular,rw7RUou,165
2007,Bonded Pairs,Herself,Short film,up2hrcx7,309
2011,The Being Frank Show,,"Episode: \1.11\""""",HL8nmwV,204
