First issued,Design,Slogan,Serial format,Serials issued,Notes
1913,Red lettering and white background painted on porcelain-coated steel base,None,12345,unknown,"Steel registration seal on right side between \N.J.\"" and \""13\"""""
1933,Orange lettering embossed on black base,None,A12345,unknown,County letter code at left
1947,Blue on straw,None,,,
1951,White on black,None,,,
1952-56,Orange lettering embossed on black base,None,A/B 123; A/B 12C; A/B 1C2; A/B C12; A/B 1234,unknown,Tab for subsequent years inserted over original date
1959,"black on buff, non-reflective, N.J. embossed in wide block font above numbers",GARDEN STATE embossed in plain block letters below numbers,ABC-123,"AAA-100 to RHZ-9991, 2",
1960,"black on buff, non-reflective, Contr. Equip. embossed in wide block font above numbers",IN TRANSIT embossed in plain block letters below numbers,F-86-3,"F-11-3 TO F-99-31, 2, 5",FROM THE COLLECTION OF RICHARD WATSON
1969-1970,"black on buff, non-reflective, N.J. embossed in wide block font above numbers",GARDEN STATE embossed in plain block letters below numbers,ABC-123,"RIA-100 to SZZ-9991, 2, 5",
1970,"black on buff, non-reflective, N.J. embossed in wide block font above numbers",GARDEN STATE embossed in plain block letters below numbers,ABC-123,"UAA-100 to YZZ-9991, 2, 5",
1973,"black on buff, non-reflective, N.J. embossed in wide block font above numbers",GARDEN STATE embossed in plain block letters below numbers,123-ABC,"100-AAA to 999-HBZ1, 2, 5",
