Name,Lifetime,Nationality,Notable as,Notes
Richard Isay,b. 1934,American,"Author, psychiatrist",G
Sharon Isbin,b. 1956,American,Classical musician,L
Taiga Ishikawa,b. 1974,Japanese,"Politician, activist",G
Sam Irvin,b. 1956,American,Director,G
Elisabeth Irwin,1880–1942,American,"Educator, psychologist, reformer",L
Christopher Isherwood,1904–1986,English,Author,G
Arturo Islas,1938–1991,American,Academic,G
Maja Ivarsson,b. 1979,Swedish,Rock musician (The Sounds),B
George Cecil Ives,1867–1950,British,"Poet, writer, penal reformer, gay rights campaigner",G
James Ivory,b. 1928,American,Filmmaker,G
Boris Izaguirre,b. 1965,Venezuelan,Writer,G
