Name,Lifetime,Nationality,Notable as,Notes,Extra_Data_1,Extra_Data_2,Dummy_Col_3
Paul Iacono,b. 1988,American,Actor,G,728,916,sWSUMNC
Janis Ian,b. 1951,American,Folk musician,L,763,386,muGYdzO
Witi Ihimaera,b. 1944,New Zealand,Author,G,718,85,pXUPmDFc
William Inge,1913–1973,American,"Playwright, novelist",G,371,675,LpVHELzB
Per Imerslund,1912–1943,Norwegian,"Nazi socialist soldier, writer",G,244,442,tCJNbzY
John Inman,1935–2007,English,Actor,G,941,459,jvtcmoV
Daniela Iraschko-Stolz,b. 1983,Austrian,Ski jumper,L,441,999,hCfUKK
Doug Ireland,b. 1946,American,"Journalist, blogger",G,483,75,VizvXldA
Jim Ireton,b. ?,American,Politician,G,722,98,bGkzhk
Evelyn Irons,1900–2000,Scottish,Journalist,L,183,963,QOpEikBv
Håkan Isacson,1958–2002,Swedish,Intelligence agent,G,328,347,UeZiIcQN
