Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Radio scores,1956,Kの死,K no shi,,radio drama
Radio scores,1956,秋の蝶,Aki no chō,,radio drama
Radio scores,1956,,Ningen Kazoku: Radio Fantasy,,radio drama
Radio scores,1957,,Gendai no Jujiro,,radio documentary
Radio scores,1957,,Sonanhi,,radio drama
Radio scores,1957,男の死,Otoko no shi (Billy the Kid): A Dialogic Cantata,,radio drama
Radio scores,1958,顔またはドン・ファンの死,"Kao, matawa Don Juan no shi: Radio Drama in Kyōgen Style",,radio drama
Radio scores,1958,遠い声,Tooi koe,,radio drama
Radio scores,1958,,Taiyo no shogen: Radio Montage,,radio drama
Radio scores,1958,心中天の網島,Shinjū ten no amijima: Radio Illusion,,radio drama
Radio scores,1958,,Hiroshima 1958: A Documentary Poetic Drama,,radio drama
Radio scores,1958,,Children's Corner,,radio drama
Radio scores,1959,,Onnamen,,radio drama
Radio scores,1959,ポジション,Position: Collage of Voices,,composition for radio
Radio scores,1959,,Kyoko no ie,,radio drama
Radio scores,1960,,Kotoba no hiroba,,educational radio program
Radio scores,1960,白い恐怖,Shiroi kyōfu: A Poem Composed for Radio,,radio drama
Radio scores,1960,,Hitachibo Kaison,,radio drama
Radio scores,1960,,Operation 1960,,radio drama
Radio scores,1960,,Kuro no kiroku 1960 nen: Magarikado de furikaeru,,radio documentary
Radio scores,1962,,Gun King,,radio drama
Radio scores,1962,,Kuroi nagai kage no kiroku,,radio drama
Radio scores,1962,瘋癲老人日記,Futen rōjin nikki,,radio drama
Radio scores,1962,,Kokoro no uchū o iku,,radio drama
Radio scores,1963,チャンピオン,Champion: An Architectural Attempted by Sound,,radio drama
Radio scores,1977,,Chikatetsu no Alice,,radio drama
Radio scores,1978,,Aa Mujo,,radio drama
Radio scores,1980,,Toyamaru wa naze shizundaka,,radio drama
Radio scores,1980,,Tooi anata e,,radio drama
Radio scores,1981,津の国人,Tsunokunibito,,radio reading of the novel by Murō Saisei
Radio scores,1983,かたちもなく寂し,Katachi mo naku sabishi,,radio drama
Radio scores,1983,上海幻影路,Shanghai geneiro,,radio drama
Radio scores,1988,でんしゃみち,Denshamichi,,radio drama
Television scores,1955,家なき子,Ienakiko,,children's television program
Television scores,1959,あざのある女,Aza no aru onna,,television drama
Television scores,1960,日本一九六〇,Nippon 1960,,television documentary
Television scores,1961,あなたは誰でしょう,Anata wa dare deshō,,television drama
Television scores,1961,ムックリを吹く女,Mukkuri o fuku onna,,television drama
Television scores,1962,日本の文様,Nippon no monyo,,television documentary
Television scores,1962,廃墟,Haikyo,,television documentary
Television scores,1962,祭,Matsuri,,television drama
Television scores,1963,もし、あなただったら…,"Moshi, anata dattara...",,television drama
