Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Electronic music,1956,木・空・鳥,"Tree, Sky, Bird (ki・sora・tori)",for tape,musique concrète
Electronic music,1956,ユリディスの死,La Mort de Eurydice,for tape,
Electronic music,1958,空、馬、そして死,"Sky, Horse and Death",for tape,
Electronic music,1956–1957,クラップ・ヴォーカリズム,Clap Vocalism,for tape,
Electronic music,1957,,Dialogue,for tape,
Electronic music,1960,クワイエト・デザイン,Quiet Design,for tape,
Electronic music,1960,水の曲,Water Music,for tape,
Electronic music,1964,怪談,Kwaidan,for tape,
Electronic music,1964,懐かしのサンフランシスコ,Natsukashino San Francisco [Longed-for San Francisco],for tape,
Electronic music,1970,,Years of Ear – What Is Music? –,for tape,
Electronic music,1970,トゥワード,Toward,for tape,
Electronic music,1986,ミネアポリスの庭,A Minneapolis Garden,for tape,
Electronic music,1986,静寂の海,The Sea Is Still,for tape,
Commercial music,1954,森永チョコレート,Morinaga Chocolate,,
Commercial music,1982,サントリーリザーブ,Suntory Reserve,,
Film scores,1955,北斎,Hokusai,,not produced
Film scores,1955,銀輪,Ginrin,,also known as Bicycle in Dream
Film scores,1956,狂った果実,Crazed Fruit,,directed by Kō Nakahira; co-composed with Masaru Satō; also known as Juvenile Passions
Film scores,1956,朱と緑,"Red and Green, aka Midnight Visitor",,directed by Noboru Nakamura
Film scores,1956,つゆのあとさき,The Rainy season,,directed by Noboru Nakamura
Film scores,1957,土砂降り,Cloudburst (Doshaburi),,directed by Noboru Nakamura
Film scores,1958,噛みつかれた顔役,The Country Boss,,directed by Noboru Nakamura
Film scores,1959,ホゼー・トレス,José Torres,,directed by Hiroshi Teshigahara
Film scores,1959,春を待つ人々,Waiting for Spring,,directed by Noboru Nakamura
Film scores,1959,危険旅行,"Dangerous trip, aka Vagabond Lovers",,directed by Noboru Nakamura
Film scores,1959,いたづら,"Joking, aka Love Letters",,directed by Noboru Nakamura
Film scores,1959,明日への盛装,,,directed by Noboru Nakamura
Film scores,1960,乾いた湖,"Dry Lake, aka Youth in Fury",,directed by Masahiro Shinoda
Film scores,1960,波の塔,,,directed by Noboru Nakamura
Film scores,1961,もず,The Shrikes,,directed by Minoru Shibuya
Film scores,1961,斑女,"Hannyo, aka Woman of Tokyo",,directed by Noboru Nakamura
Film scores,1961,不良少年,Bad Boys,,directed by Susumu Hani
Film scores,1962,熱海ブルース,Atami Blues,,directed by Donald Richie
Film scores,1962,充たされた生活,Mitasareta seikatsu (A Full Life),,directed by Susumu Hani
Film scores,1962,からみ合い,The Inheritance,,directed by Masaki Kobayashi
Film scores,1962,切腹,Harakiri,,directed by Masaki Kobayashi
Film scores,1962,おとし穴,Pitfall,,directed by Hiroshi Teshigahara
Film scores,1962,涙を、獅子のたてがみに,Tears in the Lion's Mane,,directed by Masahiro Shinoda
Film scores,1962,裸体,The Body,,directed by Masashige Narisawa (成澤昌茂)
Film scores,1963,イヴ・クライン モノクロームの画家,Yves Klein: Monochrome Artist,,directed by Shin'ichi Segi (瀬木慎一); documentary film about Yves Klein
Film scores,1963,古都,Twin Sisters in Kyoto,,directed by Noboru Nakamura
Film scores,1963,素晴らしい悪女,"A Marvelous Kid, aka Wonderful Bad Woman",,directed by Hideo Onchi
