Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Vocal,1985,ぽつねん,All Alone (Potsunen),for voice and piano,words by Shuntarō Tanikawa
Vocal,1995,昨日のしみ,Yesterday's Spot (Kinō no shimi),for voice and piano,words by Shuntarō Tanikawa
Jazz,1958,パナンペの思いがけない勝利の話－アイヌ民話よりの自由な脚色－,"Panampe no omoigakenai shōri no hanashi, Based on the Ainu Folklore",for a chorus of five male singers and jazz band,
Jazz,1960,お休み！,Be Sleep Baby!,,
Jazz,1961,３たす３と３ひく３,3 tasu 3 to 3 hiku 3 (3 Plus 3 and 3 Minus 3),,
Stage,1951,,Joie de vivre,,Ballet
Stage,1953,銀河鉄道の旅,Ginga tetsudo no tabi,,Fantastic Ballet
Stage,1954,,Romantic Suite: Nutcracker for Children,,Children's Ballet; collaboration with Jun Date after Tchaikovsky
Stage,1954,夏と煙,Summer and Smoke,,Incidental music for the play by Tennessee Williams
Stage,1955,未来のイヴ,Eve of the Future,for tape,Ballet; musical collaboration with composer Toshirō Mayuzumi
Stage,1955,野性の女,La Sauvage,,Incidental music for the play by Jean Anouilh
Stage,1955,アンフィトリオン38,Amphitryon 38,,Incidental music for the play by Jean Giraudoux
Stage,1956,愛の条件〈オルフェとユリディス〉,Ai no jōken (Orphée et Eurydice),,Incidental music for a version of the play Eurydice by Jean Anouilh
Stage,1956,せむしの聖女,A Hunchbacked Sacred Woman,,Incidental music a reworking of the play Ardèle ou la Marguerite by Jean Anouilh
Stage,1956,Kの死,The Death of K (K no shi),,Incidental music for the play by Shuntarō Tanikawa
Stage,1956,タンタロスの踊り,Tantalos no odori,,Incidental music for the play by Rinzō Shiina
Stage,1957,トロイ戦争は起こらないだろう,La guerre de Troie n'aura pas lieu,,Incidental music for the play The Trojan War Will Not Take Place by Jean Giraudoux
Stage,1957,守銭奴,L'Avare,,Incidental music for the play by Molière
Stage,1958,国性爺,Koxinga (Kokusen'ya),,Incidental music for the puppet play The Battles of Coxinga by Chikamatsu Monzaemon
Stage,1959,海賊,Le Corsaire,,Incidental music for the play by Marcel Achard
Stage,1959,死せる女王,La Reine morte,,Incidental music for the play by Henry de Montherlant
Stage,1959,怒りを込めて振り返れ,Look Back in Anger,,Incidental music for the 1956 play by John Osborne
Stage,1960,狼生きろ豚は死ね,"The Wolf Must Live, the Pig Must Die (Ookami ikiro buta wa shine)",,Incidental music for the 1963 play by Shintarō Ishihara
Stage,1960,お芝居はおしまい,The Play Is Finished (Oshibai wa oshimai),,Incidental music for the play by Shuntarō Tanikawa
Stage,1961,おまえの敵はおまえだ,Omae no teki wa omae da,,Incidental music for the play by Jun Ishikawa
Stage,1961,地獄のオルフェ,Orpheus Descending,,Incidental music for the play by Tennessee Williams
Stage,1962,黒の悲劇,Black Tragedy (Kuro no higeki),,Incidental music for the play by Seiichi Yashiro (矢代静一)
Stage,1962,白夜,White Night (Byakuya): An Intermezzo,,Incidental music for the play by Shūji Terayama
Stage,1964,一ノ谷物語 – 琴魂 –,Ichinotani monogatari: Kotodama,,Incidental music for the play by Shintarō Ishihara
Stage,1964,,Blue Aurora for Toshi Ichiyanagi,,Theatre Piece
Stage,1964,,Time Perspective for Jasper Johns,,Theatre Piece
Stage,1966,,Seven Hills Events for Ay-O,,Theatre Piece
Stage,1966,カラマーゾフの兄弟,The Brothers Karamazov,,Incidental music for the play by Fyodor Dostoyevsky
Stage,1972,マクベス,Macbeth,,Incidental music for the play by William Shakepeare
Stage,1973,愛の眼鏡は色ガラス,Love Wears Tinted Glasses (Ai no megane wa iro garasu),,Incidental music for the 1973 play by Kōbō Abe
Stage,1974,祝典喜劇 ポセイドンの仮面際,Poseidon Mask Festival (Shukuten kigeki Poseidon kamensai),,Incidental music for the 1973 play by Kunio Tsuji
Stage,1975,シラノ・ド・ベルジュラック,Cyrano de Bergerac,,Incidental music for the play by Edmond Rostand
Stage,1979,子午線の祀り,Festival of the Meridian (Shigosen no matsuri),,Incidental music for the play by Junji Kinoshita
Stage,1982,ウィングズ – 翼 –,Wings,,Incidental music for the play by Arthur Kopit
Stage,1984,波長（ウェイブレングス）,Wavelength,"for 2 percussion players, 2 dancers with video installation",Theatrical work; unfinished
Electronic music,1955,ルリエフ･スタティク,Static Relief,for tape,
Electronic music,1956,ヴォーカリズムA・I,Vocalism A・I,for tape,musique concrète
