Genre,Date,Japanese title (Original title),English title,Scoring,Notes,Extra_Data_1
Film scores,1963,太平洋ひとりぼっち,Alone on the Pacific,,directed by Kon Ichikawa,451
Film scores,1963,彼女と彼,Kanojo to kare (She and He),,directed by Susumu Hani,650
Film scores,1963,白と黒,White and Black,,directed by Hiromichi Horikawa (堀川弘通),520
Film scores,1964,砂の女,The Woman in the Dunes,,directed by Hiroshi Teshigahara,230
Film scores,1964,乾いた花,Pale Flower,,directed by Masahiro Shinoda,890
Film scores,1964,手をつなぐ子ら,Children Hand in Hand,,directed by Susumu Hani,373
Film scores,1964,白い朝,The White Dawn,,directed by Hiroshi Teshigahara,951
Film scores,1964,怪談,Kwaidan,,directed by Masaki Kobayashi,657
Film scores,1964,二十一歳の父,"Our Happiness Alone, aka 21-Year-Old Father",,directed by Noboru Nakamura,742
Film scores,1964,暗殺,Assassination,,directed by Masahiro Shinoda,811
Film scores,1964,日本脱出,Nippon Escape,,directed by Yoshishige Yoshida,572
Film scores,1964,女体,The Call of Flesh,,directed by Hideo Onchi,132
Film scores,1964,自動車泥棒,Car Thieves,,directed by Yoshinori Wada (和田嘉訓),876
Film scores,1965,美しさと哀しみと,With Beauty and Sadness,,directed by Masahiro Shinoda; based on the novel Beauty and Sadness by Yasunari Kawabata,61
Film scores,1965,最後の審判,Last Judgement,,directed by Hiromichi Horikawa (堀川弘通),617
Film scores,1965,不思議なクミコ,Le Mystère Koumiko,,directed by Chris Marker; documentary film,934
Film scores,1965,ブワナ・トシの歌,Bwana Toshi,,directed by Susumu Hani,875
Film scores,1965,異聞猿飛佐助,Samurai Spy,,directed by Masahiro Shinoda,163
Film scores,1965,四谷怪談,Yotsuya Ghost Story,,directed by Shirō Toyoda,593
Film scores,1965,けものみち,Beast Alley,,directed by Eizō Sugawa; based on the novel Beast Alley by Seichō Matsumoto,131
Film scores,1966,紀ノ川 花の巻 文緒の巻,,,directed by Noboru Nakamura; based on the novel The River Ki by Sawako Ariyoshi,351
Film scores,1966,処刑の島,Captive's Island,,directed by Masahiro Shinoda,274
Film scores,1966,他人の顔,The Face of Another,,directed by Hiroshi Teshigahara; film adaptation of the novel by Kōbō Abe,122
Film scores,1966,あこがれ,"Once a Rainy Day, aka Longing",,directed by Hideo Onchi,159
Film scores,1967,伊豆の踊子,"The Dancing Girl of Izu, aka Izu Dancer",,directed by Hideo Onchi; film adaptation of the novel by Yasunari Kawabata,2
Film scores,1967,上意討ち 拝領妻始末,Samurai Rebellion,,directed by Masaki Kobayashi,208
Film scores,1967,あかね雲,Clouds at Sunset,,directed by Masahiro Shinoda,110
Film scores,1967,乱れ雲,"Two in the Shadow, aka Bellowing Clouds",,directed by Mikio Naruse,537
Film scores,1968,めぐりあい,"Two Hearts in the Rain, aka The Encounter",,directed by Hideo Onchi,243
Film scores,1968,燃えつきた地図,"The Ruined Map, aka The Man without a Map",,directed by Hiroshi Teshigahara; based on the novel The Ruined Map by Kōbō Abe,572
Film scores,1968,日本の青春,Hymn to a Tired Man,,directed by Masaki Kobayashi,791
Film scores,1968,京,Kyō,,directed by Kon Ichikawa; documentary film,998
Film scores,1969,心中天網島,Double Suicide,,directed by Masahiro Shinoda,817
Film scores,1969,弾痕,The Bullet Wounded,,directed by Shirō Moritani (森谷司郎),330
Film scores,1970,東京戦争戦後秘話,He Died after the War,,directed by Nagisa Oshima; also known as The Man Who Left His Will on Film,191
Film scores,1970,どですかでん,Dodes'ka-den,,directed by Akira Kurosawa,370
Film scores,1970,太陽の狩人,Sun's Hunter,,directed by Hideo Onchi; documentary film,229
Film scores,1971,甦える大地,The Earth Is Born Again,,directed by Noboru Nakamura,562
Film scores,1971,儀式,The Ceremony,,directed by Nagisa Oshima,981
Film scores,1971,いのちぼうにふろう,Inn of Evil,,directed by Masaki Kobayashi,45
Film scores,1971,沈黙,Silence,,directed by Masahiro Shinoda,49
Film scores,1971,天皇の世紀,,,,933
