Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Television scores,1963,正塚の婆さん,Shōzuka no baasan,,television drama
Television scores,1964,青春の碑,Seishun no hi,,television documentary
Television scores,1964,目撃者,Mokugekisha,,television drama
Television scores,1965,ある女の影,Aru onna no kage,,television drama
Television scores,1965,源氏物語,Genji Monogatari (The Tale of Genji),,television drama
Television scores,1966,源義経,Minamotono Yoshitsune,,television drama
Television scores,1966,二十歳,Hatachi,,television drama
Television scores,1966,楠木正成,Kusunoki Masashige,,television drama
Television scores,1966,足利尊氏,Ashikaga Takauji,,television drama
Television scores,1966,あなたは…,Anata wa...,,television documentary
Television scores,1967,剣,Ken,,television drama
Television scores,1968,恩讐の彼方に,Onshu no kanata ni,,television drama
Television scores,1968,元禄一代女,Genroku ichidai onna,,television drama
Television scores,1969,悪一代,Aku ichidai,,television drama
Television scores,1971,もう一つの傷,Mo hitotsu no kizu,,television drama
Television scores,1971,天皇の世紀,Tenno no seiki,,television drama
Television scores,1972,女人幻想,Nyonin genso,,television drama
Television scores,1972,イン・モーション – 音と映像による音楽作品 –,In Motion: A Musical Work of Sounds and Visions,,television broadcast
Television scores,1972,化石,The Fossil (Kaseki),,television drama
Television scores,1973,わが愛,Waga ai,,television drama
Television scores,1974,私という他人,Watashi to iu tanin,,television drama
Television scores,1974,未来への遺産,Mirai e no isan / The Legend for the Future,,television documentary
Television scores,1976,冬の虹,Fuyu no niji,,television drama
Television scores,1977,命もいらず名もいらず・西郷隆盛伝,"Inochi mo irazu, na mo irazu: Saigō Takamori den",,television drama about Saigō Takamori
Television scores,1977,危険な童話　私は殺さない…,Kiken na dōwa: Watashi wa korosanai...,,television drama
Television scores,1978,おはん,Ohan,,television drama
Television scores,1979,ルーヴル美術館－絢爛たる人類の遺産－,Le Musée du Louvre: Kenrantaru jinrui no isan,,television documentary
Television scores,1979,赤穂浪士,Akō roshi,,television drama
Television scores,1980,血族,Ketsuzoku,,television drama
Television scores,1981,夢千代日記,Yumechiyo nikki,,television drama
Television scores,1982,NHK市民大学,NHK Shimin Daigaku,,educational television program
Television scores,1983,ジョバンニの銀河 1983,Giovanni no ginga 1983,,visual poem broadcast on television
Television scores,1983,まあええわいな,Maa eewaina,,television drama
Television scores,1983,話すことはない,Hanasu koto wa nai,,television drama
Television scores,1983,波の盆,Nami no bon,,television drama
Television scores,1984,21世紀は警告する,21 Seiki wa keikokusuru,,television documentary
Television scores,1985,おさんの恋,Osan no koi,,television drama
Television scores,1985,谷崎・その愛、我という人の心は,"Tanizaki: Sono ai, ware to iu hito no kokoro wa",,television drama
Television scores,1986,禅の世界,Zen no sekai,,television documentary
Television scores,1987,今朝の秋,Kesa no aki,,television drama
Television scores,1989,山頭火－何でこんなに淋しい風がふく－,"Santoka, nande konnani sabishii kaze fuku",,television drama
Television scores,1993,幻　源氏物語絵巻,Maboroshi: Genji monogatari emaki,,television drama
