Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Chamber music,1975,星たちの息子 – 第一幕への前奏曲『天職』 –,"Le Fils des étoiles: Prélude du 1er acte \La Vocation\""""",for flute and harp,arrangement
Chamber music,1976,ブライス,Bryce,"for flute, 2 harps and 2 percussion players",
Chamber music,1976,ウェイブス<波>,Waves,"for clarinet solo, horn, 2 trombones and bass drum",
Chamber music,1977,カトレーンII,Quatrain II,"for clarinet, violin, cello and piano",
Chamber music,1977–1978,ウォーターウェイズ,Waterways,"for violin, cello, clarinet, piano, 2 harps and 2 vibraphones",
Chamber music,1980,ア・ウェイ・ア・ローン,A Way a Lone,"for 2 violins, viola and cello",
Chamber music,1981,海へ夜白鯨鱈岬,Toward the SeaThe NightMoby DickCape Cod,for alto flute and guitar (or harp),
Chamber music,1981,雨の樹,Rain Tree,for 3 percussion players (or 3 keyboard players),after Kenzaburō Ōe's 1982 serial novel Women Listening to the Rain Tree (「雨の木」を聴く女たち)
Chamber music,"1981, 1989",海へ III夜白鯨鱈岬,Toward the Sea IIIThe NightMoby DickCape Cod,for alto flute and harp,
Chamber music,1982,雨の呪文,Rain Spell,"for flute (also alto flute), clarinet, harp, piano and vibraphone",
Chamber music,1982,クロス・ハッチ,Cross Hatch,for marimba and vibraphone (or 2 keyboard instruments),
Chamber music,1983,ラスト・ワルツ,The Last Waltz,for guitar,arrangement
Chamber music,1983,十一月の霧と菊の彼方から,From Far beyond Chrysanthemums and November Fog,for violin and piano,
Chamber music,1983,揺れる鏡の夜明け秋過ぎてゆく鳥影の中で揺れる鏡,Rocking Mirror DaybreakAutumnPassing BirdIn the ShadowsRocking Mirror,for 2 violins,
Chamber music,1984,オリオン,Orion,for cello and piano,
Chamber music,1986,アントゥル・タン,Entre-temps,"for oboe, 2 violins, viola and cello",
Chamber music,1987,シグナルズ・フロム・ヘヴン – Two Antiphonal Fanfares –デイ･シグナルナイト･シグナル,"Signals from Heaven, Two Antiphonal FanfaresDay SignalNight Signal","for 2 horns, piccolo trumpet, 4 trumpets (also 2 cornets), 4 trombones and tuba",
Chamber music,1987,ヒロシマという名の少年,A Boy Named Hiroshima,for 2 guitars,
Chamber music,1987,オール・イン・トワイライト – ギターのための四つの小品 –,"All in Twilight, 4 Pieces",for guitar,written for Julian Bream
Chamber music,1989,巡り – イサム・ノグチの追憶に –,Itinerant: In Memory of Isamu Noguchi,for flute,composed in memory of Japanese American artist Isamu Noguchi
Chamber music,1991,ギターのための小品 – シルヴァーノ・ブソッティの60歳の誕生日に –,A Piece for Guitar: For the 60th Birthday of Sylvano Bussotti,for guitar,Sylvano Bussotti
Chamber music,1992,そして、それが風であることを知った,And Then I Knew 'Twas Wind,"for flute, viola and harp",
Chamber music,1993,ビトゥイーン・タイズ,Between Tides,"for violin, cello and piano",
Chamber music,1993,エキノクス,Equinox,for guitar,
Chamber music,1993,秋のうた,Herbstlied (Autumn Song),"for clarinet, 2 violins, viola and cello","arrangement from The Seasons, Op. 37a, by Tchaikovsky"
Chamber music,1993,枯葉,Les Feuilles mortes (Autumn Leaves),"for 2 violins, viola and cello",arrangement of the song by Joseph Kosma
Chamber music,1994,鳥が道に降りてきた,A Bird Came down the Walk,for viola and piano,
Chamber music,1994,径 – ヴィトルド・ルトスワフスキの追憶に –,Paths: In Memoriam of Witold Lutosławski,for trumpet,composed in memory of composer Witold Lutosławski
Chamber music,1995,エア,Air,for flute,last published work
Chamber music,1995,森の中で – ギターのための三つの小品 –ウェインスコット・ポンド－コーネリア・フォスの絵画から－ローズデールミュアー・ウッズ,"In the Woods, 3 PiecesWainscot Pond – after a Painting by Cornelia FossRosedaleMuir Woods",for guitar,
Keyboard,1948?,かけひ,Kakehi (Conduit),for piano,
Keyboard,1948?,,Kotouta,for piano,
Keyboard,1948?,クラヴサンのために,For Harpsichord (Clavecin no tame ni),for harpsichord,
Keyboard,1948,二つのメロディ,2 Melodies,for piano,incomplete
Keyboard,1949,二つの小品,2 Pieces,for piano,
Keyboard,1948–1949,ロマンス,Romance,for piano,
Keyboard,1950,二つのレント,Lento in due movimentiAdagioLento misteriosamente,for piano,revised as Litany in 1989
Keyboard,1952,,At the Circus,for piano,
Keyboard,"1952, 1959195219591959",遮られない休息ゆっくりと、悲しく語りかけるように静かに残酷な響きで愛の歌,"Uninterrupted Rest (Pause ininterrompue)Slowly, Sadly and As If to Converse WithQuietly and with a Cruel ReverberationA Song of Love",for piano,after a poem by Shūzō Takiguchi (瀧口修造); also known as Uninterrupted Rest(s) and La Pause ininterrompue
Keyboard,1960,あわれみたまえ,Miserere,for piano,jazz composition
Keyboard,1960,愛して,Love Me,for piano,jazz composition
Keyboard,1961,ピアノ・ディスタンス,Piano Distance,for piano,
