Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Orchestral,1957,弦楽のためのレクイエム,Requiem for Strings,for string orchestra,
Orchestral,1958,ソリチュード・ソノール,Solitude Sonore,for orchestra,
Orchestral,1961,樹の曲,Music of Trees,for orchestra,
Orchestral,1962,コロナII,Corona II,for string orchestra,uses graphic notation; written in collaboration with Kōhei Sugiura
Orchestral,1964,地平線のドーリア,The Dorian Horizon,for 17 strings,
Orchestral,1967,グリーン,Green,for orchestra,
Orchestral,1971,冬,Winter,for orchestra,
Orchestral,"1973, 1979",秋庭歌一具,In an Autumn Garden,for gagaku orchestra,
Orchestral,1976,マージナリア,Marginalia,for orchestra,
Orchestral,1977,鳥は星型の庭に降りる,A Flock Descends into the Pentagonal Garden,for orchestra,
Orchestral,1981,ア・ウェイ・ア・ローン II,A Way a Lone II,for string orchestra,
Orchestral,1981,夢の時,Dreamtime,for orchestra,
Orchestral,1982,雨ぞふる,Rain Coming,for chamber orchestra,
Orchestral,1982,星・島,Star-Isle,for orchestra,
Orchestral,1983,,Lacrima,for string orchestra,
Orchestral,1985,夢窓,Dream/Window,for orchestra,
Orchestral,1988,トゥウィル・バイ・トワイライト – モートン・フェルドマンの追憶に,Twill by Twilight: In Memory of Morton Feldman,for orchestra,composed in memory of composer Morton Feldman
Orchestral,1988,トゥリー・ライン,Tree Line,for chamber orchestra,early title: 並木 (Namiki?)
Orchestral,1988,,"For Lenny's Birthday, Variations on a Theme by Bernstein",for orchestra,1 of the 8 variations on \New York
Orchestral,1990,ヴィジョンズ神秘閉じた眼,VisionsMystèreLes Yeux clos,for orchestra,
Orchestral,1991,ハウ・スロー・ザ・ウィンド,How Slow the Wind,for orchestra,
Orchestral,1992,セレモニアル – An Autumn Ode –,Ceremonial: An Autumn Ode,for orchestra with shō,
Orchestral,1992,系図 – 若い人たちのための音楽詩 –,Family Tree: Musical Verses for Young People,for narrator and orchestra,words by Shuntarō Tanikawa
Orchestral,1993,群島S.,Archipelago S.,for 21 players in 5 groups,"Group A: oboe (oboe d'amore), violin, viola, violoncello, double bass, harp, percussion (1 player)Group B: horn I, horn II, trumpet, trombone I, trombone IIGroup C: flute (alto flute), bassoon, violin, viola, violoncello, celesta, percussion (1 player)Group D: clarinetGroup E: clarinet"
Orchestral,1994,精霊の庭,Spirit Garden,for orchestra,
Orchestral,"1994, 1995",三つの映画音楽『ホゼー・トレス』『他人の顔』『黒い雨』,"Three Film Scores\José Torres\""",,
"\""The Face of Another\""",,,,,
"\""Black Rain\""""",for string orchestra,,,,
Concertante,1959,シーン,Scene,for cello and string orchestra,also for cello and piano
Concertante,1964,テクスチュアズ,Textures,for piano and orchestra,"incorporated into Arc, Part II"
Concertante,1963–1966196319661963,弧（アーク） 第1部パイルソリチュードYour Love and the Crossing,"Arc, Part IPileSolitudeYour Love and the Crossing",for piano and orchestra,revised in 1976
Concertante,1964–1966196419661966,弧（アーク） 第2部テクスチュアズリフレクションコーダ,"Arc, Part IITexturesReflectionCoda: Shall Begin from the End",for piano and orchestra,revised in 1976
Concertante,1967,ノヴェンバー・ステップス,November Steps,"for biwa, shakuhachi and orchestra",
Concertante,1968,アステリズム,Asterism,for piano and orchestra,
Concertante,1970,ユーカリプス I,Eucalypts I,"for flute, oboe, harp and string orchestra",
Concertante,1971,カシオペア,Cassiopeia,for percussion solo and orchestra,
Concertante,1973,秋,Autumn,"for biwa, shakuhachi and orchestra",
Concertante,1974,ジティマルヤ,Gitimalya: Bouquet of Songs,for marimba and orchestra,
Concertante,1974–1975,カトレーン,Quatrain,"for clarinet, violin, cello, piano and orchestra",
Concertante,1980,遠い呼び声の彼方へ！,"Far Calls. Coming, Far!",for violin and orchestra,
Concertante,1981,海へ II夜白鯨鱈岬,Toward the Sea IIThe NightMoby DickCape Cod,"for alto flute, harp and string orchestra",
Concertante,1983,夢の縁へ,To the Edge of Dream,for guitar and orchestra,
