Genre,Date,Japanese title (Original title),English title,Scoring,Notes
Film scores,1972,サマー・ソルジャー,Summer Soldiers,,directed by Hiroshi Teshigahara
Film scores,1972,夏の妹,Dear Summer Sister,,directed by Nagisa Oshima
Film scores,1972,Wonder World,Wonder World,,documentary film
Film scores,1973,青幻記 遠い日の母は美しく,Time within Memory,,directed by Toichiro Narushima (成島東一郎)
Film scores,1973,化石の森,The Petrified Forest,,directed by Masahiro Shinoda
Film scores,1974,卑弥呼,Himiko,,directed by Masahiro Shinoda
Film scores,1974,しあわせ,Happiness,,directed by Hideo Onchi
Film scores,1974,化石,The Fossil,,directed by Masaki Kobayashi; based on the novel by Yasushi Inoue
Film scores,1975,桜の森の満開の下,Under the Blossoming Cherry Trees,,directed by Masahiro Shinoda
Film scores,1977,錆びた炎,Incandescent Flame,,directed by Masahisa Sadanaga (貞永方久)
Film scores,1977,はなれ瞽女おりん,Ballad of Orin,,directed by Masahiro Shinoda
Film scores,1978,愛の亡霊,Empire of Passion,,directed by Nagisa Oshima
Film scores,1978,燃える秋,Glowing Autumn,,directed by Masaki Kobayashi
Film scores,1978,ファーム・ソング – 「日本人」第三部 –,"The Japanese, A Film Trilogy: Farm Song (Part III)",,directed by John Nathan; documentary film
Film scores,1979,火宅 能「求塚」より,,,directed by Kihachirō Kawamoto; live action animation film
Film scores,1980,天平の甍,An Ocean to Cross,,directed by Kei Kumai
Film scores,1980,気 Breathing,Breathing,,directed by Toshio Matsumoto
Film scores,1981,水俣の図・物語,The Minamata Mural,,directed by Noriaki Tsuchimoto; documentary film
Film scores,1981,蓮如とその母,"Rennyo, the Priest and His Mother",,directed by Kihachirō Kawamoto; live action animation film
Film scores,1981,シルクロード – 光と風と音 –,Silk Road: Hikari to kaze to oto,,documentary film (soundtrack for a video disc)
Film scores,1982,予言,Prophecy,,directed by Susumu Hani
Film scores,1983,東京裁判,Tokyo Trial (Tokyo Verdict),,directed by Masaki Kobayashi; documentary film
Film scores,1984,アントニー・ガウディー,Antonio Gaudí,,directed by Hiroshi Teshigahara; documentary film
Film scores,1985,火まつり,Fire Festival,,directed by Mitsuo Yanagimachi
Film scores,1985,乱,Ran,,directed by Akira Kurosawa
Film scores,1985,AK　ドキュメント黒澤明,A.K.,,directed by Chris Marker; documentary film
Film scores,1985,ボクはボクに会いに行った,Boku wa boku ni aini itta,,documentary film
Film scores,1985,食卓のない家,"The Empty Table, aka Home without a Table",,directed by Masaki Kobayashi
Film scores,1986,近松門左衛門 鑓の権三,Gonza the Spearman,,directed by Masahiro Shinoda; after a play by Chikamatsu Monzaemon
Film scores,1987,ヒロシマという名の少年,A Boy Named Hiroshima,,directed by Yoshiya Sugata (菅田良哉)
Film scores,1988,嵐が丘,Wuthering Heights,,directed by Yoshishige Yoshida; based on the novel by Emily Brontë
Film scores,1989,黒い雨,Black Rain,,directed by Shōhei Imamura
Film scores,1989,利休,Rikyu,,directed by Hiroshi Teshigahara
Film scores,1991,インランド・シー,The Inland Sea,,directed by Lucille Carra; documentary film
Film scores,1992,豪姫,"Basara, the Princess Goh",,directed by Hiroshi Teshigahara
Film scores,1992,夢窓 庭との語らい,Dream Window: Reflections on the Japanese Garden,,directed by John Junkerman; documentary film
Film scores,1993,ライジング・サン,Rising Sun,,directed by Philip Kaufman
Film scores,1995,写楽,Sharaku,,directed by Masahiro Shinoda
Film scores,1995,日本映画の百年,100 Years of Japanese Cinema,,directed by Nagisa Oshima; documentary film
Radio scores,1955,音の四季,Oto no shiki: Symphonic Poem for Concrete Sound Objects and Music,,composition for radio
Radio scores,1955,海の幻想,Umi no gensō,,composition for radio
Radio scores,1955,炎,Honoo,,radio drama
