Year,Film,Director,Cast,Details,Filler_1,Filler_2,Random_Column_3
1982,Yuvaraju,Dasari Narayana Rao,Akkineni Nageswara RaoSujathaJayasudha,,lNfOUKyo,zHAcuX,BGuHUi4v
1981,Prema Kaanuka,K. Raghavendra Rao,Akkineni Nageswara RaoSrideviMohan Babu,,TXiomam,olmonPk,BKA4Ccx
1980,Premabhishekam,Dasari Narayana Rao,Akkineni Nageswara RaoSrideviJayasudha,The film has completed 100 days in 30 centres,mFKFIyP,djHmnt,jlLqejx
1980,Pilla Zameendar,Singeetam Srinivasa Rao,Akkineni Nageswara RaoJayasudhaMohan Babu,,GtAwJPq,IhCKe,nQM4rA8J
1980,Butchi Babu,Dasari Narayana Rao,Akkineni Nageswara RaoJaya Prada,,dclYesjT,ZNNvnAAR,UsN4co
1979,Kalyani,Dasari Narayana Rao,Murali MohanKaikala SatyanarayanaJayasudha,,FbZGvv,TYTCj,CLrePLqi
1978,Manchi Manasulu,Adurthi Subba Rao,Akkineni Nageshwara RaoSavitriShowkar Janaki,,Czxqfdkf,MrJLTmg,fSyaGhpO
1970,Maro Prapancham,Adurthi Subba Rao,Akkineni Nageswara RaoSavitri,,BxuPJ,CONLkBKz,utrF9
1968,Sudigundalu,Adurthi Subba Rao,"Akkineni Nageswara Rao, Sandhya Rani",Won National Film Award for Best Feature Film in TeluguNandi Award for Best Feature FilmFilmfare Best Film Award (Telugu),wMNqKCp,pzpOh,fXnhqICX
1955,Donga Ramudu,Kadiri Venkata Reddy,Akkineni Nageswara RaoJamunaSavitri,,JhQqp,RUxaCpH,ILWGcJCX
