Year,Film,Director,Cast,Details,Unused_1,Irrelevant_2
2014,Manam,Vikram Kumar,Akkineni Nageswara RaoAkkineni NagarjunaNaga Chaitanya,in-production.first time starring three generations of great akkineni dynasty heroes acting together.,,VMqTY7d
2013,Bhai,Veerabhadram,Akkineni NagarjunaRicha Gangopadhyay,,,kThwJPCj
2011,Rajanna,Vijayendra Prasad,Akkineni NagarjunaSneha,"Won Nandi Award for Best Feature Film (Silver),Nandi Award for Best Child Actress (Baby Annie),Nandi Award for Best Character Actor (Gandhi),Nandi Award for Best Art Director (S Ravinder),Nandi Award for Best Female Playback Singer (Malavika),Nandi Special Jury Award (Nagarjuna)",,TAXcC5g
2005,Super,Puri Jagannadh,Akkineni NagarjunaAyesha TakiaSonu SoodAnushka Shetty,"Won Filmfare Best Comedian in Telugu(Ali),Nominated for Filmfare Best Film in Telugu,Filmfare Best Director (Puri Jagannadh),Filmfare Best Actor (Akkineni Nagarjuna).Filmfare Best Music Director (Sandeep Chowta),Filmfare Best Actress (Sandhya)",,lK9xTjFM
2004,Mass,Raghava Lawrence,Akkineni NagarjunaJyothikaCharmy Kaur,"Won CineMAA Award for Best Actor (Nagarjuna),Santosham Best Actress Award (Jyothika)",,SBhvHY
2003,Satyam,Surya Kiran,SumanthGenelia D'Souza,,,bd8wJW6
2002,Manmadhudu,K. Vijaya Bhaskar,Akkineni NagarjunaSonali Bendre,Won Nandi Award for Best Feature Film (Gold),,ODihx9kZ
1999,Prema Katha,Ram Gopal Varma,SumanthAntara Mali,"Won Nandi Award for Best Feature Film (Bronze),Nandi Award for Best Director (Ram Gopal Varma),Nandi Award for Best Supporting Actress (Radhika),Nandi Award for Best Male Dubbing Artist (P.Shankar)",,De5YS
1999,Seetharama Raju,Suresh Krishna,Nagarjuna AkkineniNandamuri HarikrishnaSakshi SivanandSanghavi,Co-produced with D.Siva Prasad Reddy,,YbO2IIhJ
1998,Aaha,Suresh Krishna,Jagapathi BabuSanghavi,,,F2SNRKE
