Year,Film,Director,Cast,Details
1998,Chandralekha (1998 film),Krishna Vamsi,Nagarjuna AkkineniRamya KrishnaIsha Koppikar,Co-produced with V.Ram Prasad
1996,Ninne Pelladutha,Krishna Vamsi,Nagarjuna AkkineniTabu,Won National Film Award for Best Feature Film in Telugu
1995,Sisindri,Shiva Nageswara Rao,Akhil AkkineniNagarjuna Akkineni,
1993,Theerpu,,,
1993,Rakshana,Uppala Pati Narayana RaoR. R. Shinde,Nagarjuna AkkineniShobhana,
1990,Iddaru Iddare,A. Kodandarami Reddy,Akkineni Nageswara RaoNagarjuna AkkineniRamya Krishnan,
1989,Shiva,Ram Gopal Verma,Akkineni NagarjunaAmala,Produced in association with S.S.CreationsWon Nandi Award for Best Director (Ram Gopal Varma)Released in Hindi in 1990
1987,Agni Putrudu,K. Raghavendra Rao,Nagarjuna AkkineniAkkineni Nageswara RaoSaradaSivaji Ganesan,First film starring two generationsof the Akkineni family
1986,Vikram,V. Madhusudhana Rao,Akkineni NagarjunaShobhana,Debut Film of Superstar Akkineni Nagarjuna
1983,Sri Ranga Neethulu,A. Kodandarami Reddy,Akkineni Nageswara RaoSridevi,
