#,Date,Venue,Opponent,Score,Result,Competition,Noise_Field_1,Filler_2,Irrelevant_3
1.,10 October 2004,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,2–0,2–0,2006 FIFA World Cup qualification,LsvbsRo,jQTHQeny,ZmmkF
2.,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,3–0,6–0,2006 FIFA World Cup qualification,OXuQaKs,LrmZY,bTW7A
3.,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,4–0,6–0,2006 FIFA World Cup qualification,IkJdivPf,DnxgWn,TXLEOH
4.,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,5–0,6–0,2006 FIFA World Cup qualification,CvNlKa,vHLqCnt,H1I6C
5.,17 November 2004,"Columbus Crew Stadium, Columbus, United States",Jamaica,1–0,1–1,2006 FIFA World Cup qualification,RHhngpW,saGlY,s11qKNdn
6.,9 February 2005,"Queen's Park Oval, Port of Spain, Trinidad",Trinidad and Tobago,1–0,2–1,2006 FIFA World Cup qualification,tCvXAM,nIzeYgEl,lIQSo
7.,19 March 2005,"University Stadium, Albuquerque, United States",Honduras,1–0,1–0,Friendly,ZvaLKNIa,UiTHD,lOa2q5e
8.,30 March 2005,"Legion Field, Birmingham, United States",Guatemala,1–0,2–0,2006 FIFA World Cup qualification,dMwKDhVk,KjdXR,8O8Fc
9.,19 February 2006,"Pizza Hut Park, Frisco, United States",Guatemala,3–0,4–0,Friendly,nswnCbJv,jIlnEsr,i1VwVesk
10.,9 June 2007,"The Home Depot Center, Carson, United States",Trinidad and Tobago,2–0,2–0,2007 CONCACAF Gold Cup,qdlMUV,rrvZx,UdzOF5
