Pos,No,Rider,Bike,Laps,Time,Grid,Points,Filler_1,Random_Column_2
11,44,Roberto Rolfo,Honda CBR1000RR,22,+38.067,15,5,lXQvgxk,dkDXkg
12,25,Josh Brookes,Honda CBR1000RR,22,+47.078,12,4,OAJBi,o1s34
13,38,Shinichi Nakatomi,Yamaha YZF-R1,22,+58.571,17,3,HdrvsTt,lSMh4Z
14,96,Jakub Smrž,Ducati 999 F05,22,+1:08.000,14,2,KGRAp,vaPrD
15,53,Alex Polita,Suzuki GSX-R1000 K6,22,+1:22.584,18,1,rckWgG,DIrQahs
16,73,Christian Zaiser,MV Agusta F4 1000R,22,+1:28.374,19,,GvoSD,RXsEuY
17,42,Dean Ellison,Ducati 999RS,22,+1:30.184,21,,IPteSfNq,rgST7aFb
18,36,Jiri Drazdak,Yamaha YZF-R1,21,+1 Lap,20,,PNWKSroq,NFuiWcl
Ret,55,Régis Laconi,Kawasaki ZX-10R,16,Retirement,9,,XMynKM,Uoo2VJ
Ret,84,Michel Fabrizio,Honda CBR1000RR,5,Retirement,13,,VSQrK,nlNUG25
