Pos,No,Rider,Bike,Laps,Time,Grid,Points
1,21,Troy Bayliss,Ducati 999 F07,22,34:11.276,1,25
2,52,James Toseland,Honda CBR1000RR,22,+2.096,2,20
3,3,Max Biaggi,Suzuki GSX-R1000 K7,22,+10.143,5,16
4,41,Noriyuki Haga,Yamaha YZF-R1,22,+18.923,4,13
5,11,Troy Corser,Yamaha YZF-R1,22,+19.742,3,11
6,57,Lorenzo Lanzi,Ducati 999 F07,22,+24.765,10,10
7,111,Ruben Xaus,Ducati 999 F06,22,+27.404,8,9
8,76,Max Neukirchner,Suzuki GSX-R1000 K6,22,+34.614,7,8
9,10,Fonsi Nieto,Kawasaki ZX-10R,22,+35.339,6,7
10,99,Steve Martin,Honda CBR1000RR,22,+36.238,11,6
