Date,Opponent,Venue,Result,Attendance,Scorers,Noise_Field_1,Random_Column_2,Dummy_Col_3
10 October 1987,Portsmouth,Away,1–3,"12,391",Harford (pen),UrBBu,xwpy8L,JmQCM
17 October 1987,Wimbledon,Home,2–0,"07,018","B. Stein, Wilson",gXydvTr,145ofa,xSWuiym
24 October 1987,Liverpool,Home,0–1,"11,997",—,EZsLsuJb,cV6FKtg,pEqwAskA
7 November 1987,Newcastle United,Home,4–0,"07,638","Nwajiobi, B. Stein, M. Stein (2)",LUKmiQG,4eV0RR,NdyZPB
14 November 1987,Sheffield Wednesday,Away,2–0,"16,960","Allinson, M. Stein",NnFIR,CH93pis,fnYSwe
21 November 1987,Tottenham Hotspur,Home,2–0,"10,091",Allinson (2),dkEvCKo,BoyoI,VAxUKiNC
5 December 1987,Norwich City,Home,1–2,"07,002",B. Stein,OmjQNg,A7DCZ,ZaulQYnd
12 December 1987,Watford,Away,1–0,"12,152",Foster,sZQqzQ,HA0rUI7d,oTcwxme
18 December 1987,Southampton,Home,2–2,"06,618","Harford, McDonough",MVNNFWWB,ZSvPXg,ZIzdSFAY
26 December 1987,Everton,Away,0–2,"32,128",—,fJpvkxcm,DMIbT,KMpWGuIZ
