Date,Opponent,Venue,Result,Attendance,Scorers
15 August 1987,Derby County,Away,0–1,"17,204",—
18 August 1987,Coventry City,Home,0–1,"09,380",—
22 August 1987,West Ham United,Home,2–2,"08,073",Harford (2)
29 August 1987,Chelsea,Away,0–3,"16,075",—
31 August 1987,Arsenal,Home,1–1,"08,745",Wilson (pen)
5 September 1987,Oxford United,Away,5–2,"06,804","Breacker, Harford, Hill, Nwajiobi, B. Stein"
12 September 1987,Everton,Home,2–1,"08,124","Hill, B. Stein"
19 September 1987,Charlton Athletic,Away,0–1,"05,002",—
26 September 1987,Queens Park Rangers,Away,0–2,"11,175",—
3 October 1987,Manchester United,Home,1–1,"09,137",Harford
