Date,Opponent,Venue,Result,Attendance,Scorers
28 December 1987,Charlton Athletic,Home,1–0,"07,243",Wilson
1 January 1988,Chelsea,Home,3–0,"08,018","Harford, B. Stein, M. Stein"
2 January 1988,West Ham United,Away,1–1,"16,716",M. Stein
16 January 1988,Derby County,Home,1–0,"07,175",McDonough
6 February 1988,Oxford United,Home,7–4,"08,063","Harford (2), McDonough, B.Stein, M.Stein (3)"
13 February 1988,Arsenal,Away,1–2,"22,612",M.Stein
5 March 1988,Wimbledon,Away,0–2,"04,854",—
15 March 1988,Coventry City,Away,0–4,"13,711",—
29 March 1988,Portsmouth,Home,4–1,"06,740","B.Stein, M.Stein, Wilson, own goal"
2 April 1988,Newcastle United,Away,0–4,"20,752",—
