Title,Year,Director,Country,Genre,Notes
101 Rent Boys,2000,"Fenton Bailey, Randy Barbato",United States,Documentary,
101 Reykjavík,2000,Baltasar Kormákur,Iceland,Comedy,
And Then Came Summer,2000,Jeff London,United States,Drama,
Before Night Falls,2000,Julian Schnabel,United States,Drama,
Benjamin Smoke,2000,Jem CohenTemplate:Peter Sillen,United States,Documentary,
Between Two Women,2000,Steven Woodcock,England,Drama,
Big Eden,2000,Thomas Bezucha,United States,Romantic drama,
Billy Elliot,2000,Stephen Daldry,England France,Comedy drama,
Borstal Boy,2000,Peter Sheridan,England Ireland,Romantic drama,
A Boy Named Sue,2000,Julie Wyman,United States,Documentary,
The Broken Hearts Club: A Romantic Comedy,2000,Greg Berlanti,United States,Romantic comedy drama,
Burnt Money,2000,Marcelo Piñeyro,Argentina,Crime thriller,
