Title,Year,Director,Country,Genre,Notes
Stardom,2000,Denys Arcand,Québec France,"Drama, comedy",
The Sea,2000,Agustí Villaronga,Spain,Drama,aka El mar
Sordid Lives,2000,Del Shores,United States,Comedy,
Straightman,2000,Ben Berkowitz,United States,Drama,
Things You Can Tell Just by Looking at Her,2000,García Rodrigo,United States,Romantic drama,
Together,2000,Lukas Moodysson,Sweden Denmark Italy,Comedy drama,
Urbania,2000,Jon Matthews,United States,"Drama, thriller",
Water Drops on Burning Rocks,2000,François Ozon,France,Drama,
What's Cooking?,2000,Gurinder Chadha,England United States,Comedy drama,
Woman on Top,2000,Fina Torres,United States,Romantic comedy,
Wonder Boys,2000,Curtis Hanson,United States,Comedy drama,
