Title,Year,Director,Country,Genre,Notes
Get Your Stuff,2000,Max Mitchell,United States,Comedy drama,
The Girl,2000,Sande Zeig,United States France,Romantic drama,
Her or Him,2000,Benjamin Beaulieu,France,Romance,
If These Walls Could Talk 2,2000,"Jane Anderson, Martha Coolidge, Anne Heche",United States,Romantic drama,
An Intimate Friendship,2000,Angela Evers Hughey,United States,"Romance, drama",
The Iron Ladies (Satree lek),2000,Youngyooth Thongkonthun,Thailand,Comedy,Based on a true story of a gay/transgender volleyball team. Stars Jesdaporn Pholdee.
Just a Question of Love,2000,Christian Faure,France Belgium,Drama,
Km. 0,2000,"Yolanda García Serrano, Juan Luis Iborra",Spain,Romantic comedy drama,
The Legend of Rita,2000,Volker Schlöndorff,Germany,Romantic drama,
Marlene,2000,Joseph Vilsmaier,Germany Italy,Biography Drama Music,
Mercy,2000,Damian Harris,United States,"Mystery, thriller",
The Monkey's Mask,2000,Samantha Lang,Australia,Crime thriller,
