Title,Year,Director,Country,Genre,Notes
Murderous Maids,2000,Jean-Pierre Denis,France,"Crime, drama","aka \Les blessures assassines\"""""
The Next Best Thing,2000,John Schlesinger,United States,Romantic comedy drama,
Nico and Dani,2000,Cesc Gay,Spain,Romantic comedy drama,
No One Sleeps,2000,Jochen Hick,Germany,"Drama, mystery",
Once in a Lifetime,2000,Susanne Bier,Denmark Sweden,Music comedy drama,
Our Lady of the Assassins,2000,Barbet Schroeder,Spain France Colombia,Romantic crime drama,aka La virgen de los sicarios
Paragraph 175,2000,"Rob Epstein, Jeffrey Friedman",England Germany United States,Documentary,
The Perfect Son,2000,Leonard Farlinger,Canada,Drama,
The Phantom,2000,João Pedro Rodrigues,Portugal,Drama,aka O Fantasma
Presque rien,2000,Sébastien Lifshitz,France Belgium,Romantic drama,aka Come Undone and Almost Nothing
Red Dirt,2000,Tag Purvis,United States,Romantic drama,
Revoir Julie,2000,Jeanne Crépeau,Québec,"Comedy, drama",
