Title,Year,Director,Country,Genre,Notes,Random_Column_1
Chuck & Buck,2000,Miguel Arteta,United States,Comedy drama,,yAXXDq0
Citizens of Perpetual Indulgence,2000,Alex Monty Canawati,United States,Drama,,Cmq7mnK
Common Ground,2000,Donna Deitch,United States,Drama,,KTx80
Confusion of Genders,2000,Ilan Duran Cohen,France,Romantic comedy drama,,pOBNE
Daughters of the Sun,2000,Maryam Shahriar,Iran,Drama,,VVJPD
Doors Cut Down,2000,Antonio Hens,Spain,Short comedy,aka En malas compañías,JmeDU1L
Drift,2000,Quentin Lee,Canada,"Drama, romance, comedy",,xh0lT
Drôle de Félix,2000,"Olivier Ducastel, Jacques Martineau",France,Comedy drama,aka The Adventures of Felix,1AbNO6me
Eban and Charley,2000,James Bolton,England United States,Drama,,cZmGuX
Faites comme si je n'étais pas là,2000,Olivier Jahan,France,Drama,,7XJ4HIqH
Fleeing by Night,2000,"Hsu Li Kong, Chi Yin",Taiwan China,Romantic drama,,nwk5q
Forbidden Fruit,2000,Sue Maluwa-Bruce,Germany Zimbabwe,Short,,81Jho7oq
