No.,Train No.,Origin,Destination,Train Name
32.,12007/12008,Chennai,Mysore,Shatabdi Express
33.,16222/16221,Chennai,Mysore,Kaveri Express
34.,16041/16042,Chennai,Alapuzha,Alleppey Express
35.,12623/12624,Chennai,Trivandrum,Trivandrum Mail
36.,12695/12696,Chennai,Trivandrum,Superfast Express
37.,12697/12698,Chennai,Trivandrum,Trivandum Express
38.,16089/16090,Chennai,Jolarpet Junction,Yelagiri express
39.,16031/16032,Chennai,Jammutawi,Andaman Express
40.,12687/12688,Chennai,Dehradun,Dehradun Express
41.,12712/12711,Chennai,Vijayawada,Pinakini Express
