No.,Train No.,Origin,Destination,Train Name
12.,12243/12244,Chennai,Coimbatore,Shatabdi Express
13.,12681/12682,Chennai,Coimbatore,Coimbatore Express
14.,12671/12672,Chennai,Mettupalayam (Coimbatore),Nilgiri Express
15.,16627/16628,Chennai,Mangalore Central,West Coast Express
16.,12601/12602,Chennai,Mangalore Central,Mangalore Mail
17.,12685/12686,Chennai,Mangalore Central,Superfast Express
18.,12656/12655,Chennai,Ahmedabad,Navjivan Express
19.,12669/12670,Chennai,Chhapra,Ganga Kaveri Express
20.,16057/16058,Chennai,Tirupati,Saptagiri Express
21.,16053/16054,Chennai,Tirupati,Tirupati Express
